window,train_start,train_end,test_start,test_end,momentum_days,top_n,trend_days,volatility_days,target_volatility,max_position,max_group,train_total_return,train_cagr,train_annualized_volatility,train_sharpe,train_max_drawdown,train_final_equity,test_observations,test_return,test_sharpe,test_max_drawdown
1,2010-12-16,2015-12-15,2015-12-16,2016-04-15,252,2,200,60,0.15,0.4,1.0,-0.24169996046662678,-0.053867947289882756,0.08413403840054194,-0.6167016509711889,-0.26594450304283357,0.7583000395333732,83.0,0.0005751483982860961,0.06150876977013142,-0.017591068792686237
2,2011-04-16,2016-04-15,2016-04-16,2016-08-15,252,2,200,60,0.15,0.4,1.0,-0.23923499548308425,-0.05328162041430995,0.08113629141980792,-0.6350626765116554,-0.24390949510324933,0.7607650045169158,84.0,0.004501202482088074,0.175812596455634,-0.055911134931178164
3,2011-08-16,2016-08-15,2016-08-16,2016-12-15,126,2,200,60,0.15,0.4,1.0,-0.16160458151374202,-0.034643593384505955,0.0899967315123989,-0.34742607405820497,-0.2479933831565191,0.838395418486258,86.0,0.0021430804967350614,0.1191674129329318,-0.11223433505245428
4,2011-12-16,2016-12-15,2016-12-16,2017-04-15,126,2,200,60,0.15,0.4,1.0,-0.14131291647888156,-0.03001465162732031,0.09757794223574133,-0.2640788323174833,-0.2455296045675709,0.8586870835211184,81.0,-0.013411435483812628,-0.26006670917764,-0.052700117563179494
5,2012-04-16,2017-04-15,2017-04-16,2017-08-15,126,2,200,60,0.15,0.4,1.0,-0.10272884473889254,-0.021483944336966876,0.0995159512296556,-0.16855903561111965,-0.19758085497661093,0.8972711552611075,85.0,0.038768572076247176,1.1063301792068883,-0.04258785795224285
6,2012-08-16,2017-08-15,2017-08-16,2017-12-15,126,2,200,60,0.15,0.4,1.0,0.06662623826705705,0.012992639764844549,0.09654444974023751,0.1820725667061238,-0.1501111433363138,1.066626238267057,86.0,0.06282925727625943,1.4658213473153598,-0.04513530855229342
7,2012-12-16,2017-12-15,2017-12-16,2018-04-15,126,2,200,60,0.15,0.4,1.0,0.17235924098894473,0.032355272603393104,0.09699062583888991,0.37628443476484147,-0.15011114333631226,1.1723592409889447,80.0,0.12155492251189504,2.318835979754936,-0.08479274318751329
8,2013-04-16,2018-04-15,2018-04-16,2018-08-15,126,2,200,60,0.15,0.4,1.0,0.23562060642904625,0.04330140106132685,0.09765759237638148,0.48239102063525086,-0.15011114333631304,1.2356206064290463,86.0,0.0030508922438483577,0.13447460456682084,-0.06230935000217519
9,2013-08-16,2018-08-15,2018-08-16,2018-12-15,126,2,200,60,0.15,0.4,1.0,0.22055109117910687,0.04069399748191915,0.09992660118672483,0.4491482676736355,-0.12123425542286603,1.2205510911791069,84.0,0.10717278993926982,1.270212075714528,-0.1012159937454562
10,2013-12-16,2018-12-15,2018-12-16,2019-04-15,126,2,200,60,0.15,0.4,1.0,0.48208239662360564,0.08197350440291551,0.11970730323109346,0.7177125733624073,-0.12123425542286592,1.4820823966236056,82.0,-0.06516430231481918,-2.0322732899648983,-0.07905822014195607
11,2014-04-16,2019-04-15,2019-04-16,2019-08-15,126,2,200,60,0.15,0.4,1.0,0.38655236264164783,0.06759541108815514,0.12211506864025334,0.5971354212865508,-0.1360294781147494,1.3865523626416478,85.0,0.00630639260376098,0.23910631187664086,-0.049944255033584684
12,2014-08-16,2019-08-15,2019-08-16,2019-12-15,126,2,200,60,0.15,0.4,1.0,0.38788770856666455,0.06787795977502697,0.12456872111515302,0.5893415784477551,-0.16953558386558365,1.3878877085666645,84.0,-0.014122482195274788,-0.22982714528340037,-0.08921679662192372
13,2014-12-16,2019-12-15,2019-12-16,2020-04-15,126,2,200,60,0.15,0.4,1.0,0.372102325307077,0.06543334769464204,0.12926331012571776,0.5548371549057877,-0.16953558386558365,1.372102325307077,83.0,0.02047574917899797,0.5014740893472882,-0.09905247180425958
14,2015-04-16,2020-04-15,2020-04-16,2020-08-15,126,2,200,60,0.15,0.4,1.0,0.3921451080594833,0.06841711291972485,0.13397801799623318,0.5612506913257407,-0.17455947372000302,1.3921451080594833,85.0,0.20752747455087595,2.9323202754834283,-0.06489303572822347
