,equity
2015-12-16,100000.0
2015-12-17,100000.0
2015-12-18,100000.0
2015-12-21,100000.0
2015-12-22,100000.0
2015-12-23,100000.0
2015-12-24,100000.0
2015-12-28,100000.0
2015-12-29,100000.0
2015-12-30,100000.0
2015-12-31,100000.0
2016-01-04,100000.0
2016-01-05,100000.0
2016-01-06,100000.0
2016-01-07,100000.0
2016-01-08,100000.0
2016-01-11,100000.0
2016-01-12,100000.0
2016-01-13,100000.0
2016-01-14,100000.0
2016-01-15,100000.0
2016-01-19,100000.0
2016-01-20,100000.0
2016-01-21,100000.0
2016-01-22,100000.0
2016-01-25,100000.0
2016-01-26,100000.0
2016-01-27,100000.0
2016-01-28,100000.0
2016-01-29,100000.0
2016-02-01,100000.0
2016-02-02,100000.0
2016-02-03,100000.0
2016-02-04,100000.0
2016-02-05,100000.0
2016-02-08,100000.0
2016-02-09,100000.0
2016-02-10,100000.0
2016-02-11,100000.0
2016-02-12,100000.0
2016-02-16,100000.0
2016-02-17,100000.0
2016-02-18,100000.0
2016-02-19,100000.0
2016-02-22,100000.0
2016-02-23,100000.0
2016-02-24,100000.0
2016-02-25,100000.0
2016-02-26,100000.0
2016-02-29,100000.0
2016-03-01,99975.0
2016-03-02,100168.12562348778
2016-03-03,100600.68579093172
2016-03-04,100561.10495895968
2016-03-07,100686.24289879923
2016-03-08,100569.88155966396
2016-03-09,100361.36878799273
2016-03-10,100764.22386692565
2016-03-11,100330.8969968181
2016-03-14,100007.41138319233
2016-03-15,100026.50084738315
2016-03-16,100584.04031953345
2016-03-17,100488.11908256388
2016-03-18,100419.10947340891
2016-03-21,100243.08182691448
2016-03-22,100316.81443861303
2016-03-23,99749.26960082898
2016-03-24,99689.39121651844
2016-03-28,99747.2348521974
2016-03-29,100209.18681485942
2016-03-30,99859.0108000029
2016-03-31,99974.13453603689
2016-04-01,99823.28970358234
2016-04-04,99656.8182165581
2016-04-05,99980.71405474155
2016-04-06,99827.76013258098
2016-04-07,100184.16549676518
2016-04-08,100146.1560956388
2016-04-11,100484.40167642327
2016-04-12,100488.58837426892
2016-04-13,100220.7290784554
2016-04-14,99870.54380993596
2016-04-15,100043.23379422395
2016-04-18,100005.05576485369
2016-04-19,100395.76772063445
2016-04-20,100267.73318591178
2016-04-21,100362.54736906271
2016-04-22,100041.08828072694
2016-04-25,100113.2198590692
2016-04-26,100212.71357978953
2016-04-27,100284.47583982647
2016-04-28,100758.3503124916
2016-04-29,101248.47679950744
2016-05-02,101139.25471731304
2016-05-03,101024.58594736819
2016-05-04,100831.394617283
2016-05-05,100832.58251082747
2016-05-06,101121.29099972507
2016-05-09,100215.13084142568
2016-05-10,100437.17058003445
