window,train_start,train_end,test_start,test_end,momentum_days,top_n,trend_days,volatility_days,target_volatility,max_position,max_group,train_total_return,train_cagr,train_annualized_volatility,train_sharpe,train_max_drawdown,train_final_equity,test_observations,test_return,test_sharpe,test_max_drawdown
1,2010-12-16,2015-12-15,2015-12-16,2016-04-15,252,5,200,60,0.15,0.25,0.35,-0.1952928804814893,-0.04255322108244586,0.05266497562933093,-0.8000674613070259,-0.21293818317633173,0.8047071195185107,83.0,0.0004323379422395135,0.06150876977013763,-0.010990067782688961
2,2011-04-16,2016-04-15,2016-04-16,2016-08-15,252,5,200,60,0.15,0.25,0.35,-0.18052442290301507,-0.03908301186511709,0.04895346463427228,-0.7908224094796094,-0.18368963574647756,0.8194755770969849,84.0,0.008971487326798755,0.4822362310638184,-0.02808204136085779
3,2011-08-16,2016-08-15,2016-08-16,2016-12-15,252,5,200,60,0.15,0.25,0.35,-0.1327598226734218,-0.028089701423459124,0.05061957901689383,-0.5383748939475953,-0.16003419593557788,0.8672401773265782,86.0,-0.03411575002505873,-1.1529347574590394,-0.049393027918600785
4,2011-12-16,2016-12-15,2016-12-16,2017-04-15,126,5,200,60,0.15,0.25,0.35,-0.10554027677001543,-0.022063104372116116,0.06218306276322601,-0.32820680481553854,-0.17769081644344342,0.8944597232299846,81.0,-0.029629962701635093,-0.7897104838614932,-0.05536056739483608
5,2012-04-16,2017-04-15,2017-04-16,2017-08-15,126,5,200,60,0.15,0.25,0.35,-0.1305508190456397,-0.027639792240491956,0.06644314005621746,-0.38851917137021325,-0.16142879452960845,0.8694491809543603,85.0,-0.00039669521071539204,5.554846504817884e-05,-0.03223312442885473
6,2012-08-16,2017-08-15,2017-08-16,2017-12-15,126,5,200,60,0.15,0.25,0.35,0.0038673387020828898,0.0007728031637390664,0.06356707822995998,0.043948860835402656,-0.08892344087875426,1.003867338702083,86.0,0.046706261928157966,1.5045451269183412,-0.04100771243819257
7,2012-12-16,2017-12-15,2017-12-16,2018-04-15,126,5,200,60,0.15,0.25,0.35,0.0560199653961555,0.010974650282457254,0.06627804806309034,0.19760945107844116,-0.08892344087875437,1.0560199653961555,80.0,0.047009654280152136,1.3582870966844327,-0.05980278228686642
8,2013-04-16,2018-04-15,2018-04-16,2018-08-15,126,5,200,60,0.15,0.25,0.35,0.09619005163111627,0.018571200932458787,0.06929233024302804,0.299923364220826,-0.08892344087875392,1.0961900516311163,86.0,-0.03937004975494052,-1.1170339068393507,-0.05743492943193118
9,2013-08-16,2018-08-15,2018-08-16,2018-12-15,126,5,200,60,0.15,0.25,0.35,0.02170460471123037,0.004306671298442977,0.0707029502466432,0.09613347576355784,-0.08488526615935887,1.0217046047112304,84.0,0.07545365407997529,1.404461076259815,-0.04781282118596719
10,2013-12-16,2018-12-15,2018-12-16,2019-04-15,126,5,200,60,0.15,0.25,0.35,0.20689669912014663,0.03837486921070776,0.08144421277102826,0.5028791414852659,-0.06821509043154728,1.2068966991201466,82.0,-0.0387021422536763,-1.541827956909798,-0.05928619346780417
11,2014-04-16,2019-04-15,2019-04-16,2019-08-15,126,5,200,60,0.15,0.25,0.35,0.15978315681287536,0.030111363881411224,0.08368821360146053,0.39664605179133655,-0.10418020909581738,1.1597831568128754,85.0,-0.018967919270323375,-0.8279424316384737,-0.04735196974563316
12,2014-08-16,2019-08-15,2019-08-16,2019-12-15,126,5,200,60,0.15,0.25,0.35,0.13778448352336836,0.026199951617798645,0.08541803888816084,0.3454100823317753,-0.1279255090696204,1.1377844835233684,84.0,0.023042836604921346,1.1389335255164987,-0.03850011146459831
13,2014-12-16,2019-12-15,2019-12-16,2020-04-15,126,5,200,60,0.15,0.25,0.35,0.16400226546881158,0.03089463932421377,0.0868761668684582,0.3935952095096066,-0.1279255090696204,1.1640022654688116,83.0,-0.03401747487251916,-1.11935748910136,-0.11035218463096297
14,2015-04-16,2020-04-15,2020-04-16,2020-08-15,126,5,200,60,0.15,0.25,0.35,0.12380888753453334,0.023622634586021096,0.0898368271122739,0.30496858162040325,-0.14821537303710253,1.1238088875345333,85.0,0.08950416841001418,2.373661778753685,-0.04163883165980886
15,2015-08-16,2020-08-15,2020-08-16,2020-12-15,126,5,200,60,0.15,0.25,0.35,0.22807121043325673,0.04199760909927219,0.09294789830352654,0.48891842793824986,-0.1482153730371013,1.2280712104332567,85.0,0.07629465513890188,1.765810696971991,-0.049421723968080644
16,2015-12-16,2020-12-15,2020-12-16,2021-04-15,126,5,200,60,0.15,0.25,0.35,0.268145347908908,0.04866465769991968,0.09528709684083476,0.5467005330707991,-0.14821537303710164,1.268145347908908,82.0,0.13325932906829974,2.270704040027261,-0.05181777229730855
