,equity
2015-12-16,100000.0
2015-12-17,100000.0
2015-12-18,100000.0
2015-12-21,100000.0
2015-12-22,100000.0
2015-12-23,100000.0
2015-12-24,100000.0
2015-12-28,100000.0
2015-12-29,100000.0
2015-12-30,100000.0
2015-12-31,100000.0
2016-01-04,100000.0
2016-01-05,100000.0
2016-01-06,100000.0
2016-01-07,100000.0
2016-01-08,100000.0
2016-01-11,100000.0
2016-01-12,100000.0
2016-01-13,100000.0
2016-01-14,100000.0
2016-01-15,100000.0
2016-01-19,100000.0
2016-01-20,100000.0
2016-01-21,100000.0
2016-01-22,100000.0
2016-01-25,100000.0
2016-01-26,100000.0
2016-01-27,100000.0
2016-01-28,100000.0
2016-01-29,100000.0
2016-02-01,100000.0
2016-02-02,100000.0
2016-02-03,100000.0
2016-02-04,100000.0
2016-02-05,100000.0
2016-02-08,100000.0
2016-02-09,100000.0
2016-02-10,100000.0
2016-02-11,100000.0
2016-02-12,100000.0
2016-02-16,100000.0
2016-02-17,100000.0
2016-02-18,100000.0
2016-02-19,100000.0
2016-02-22,100000.0
2016-02-23,100000.0
2016-02-24,100000.0
2016-02-25,100000.0
2016-02-26,100000.0
2016-02-29,100000.0
2016-03-01,99960.0
2016-03-02,100268.95463584037
2016-03-03,100961.74756631385
2016-03-04,100898.19094246607
2016-03-07,101099.08279628142
2016-03-08,100912.14127464617
2016-03-09,100577.38546193343
2016-03-10,101223.34094936366
2016-03-11,100526.85893490037
2016-03-14,100008.27104428143
2016-03-15,100038.81444953478
2016-03-16,100930.987420981
2016-03-17,100776.98406011022
2016-03-18,100666.25128341505
2016-03-21,100383.913893446
2016-03-22,100502.05181193762
2016-03-23,99592.30329551159
2016-03-24,99496.64864083653
2016-03-28,99589.0195192223
2016-03-29,100326.97029000262
2016-03-30,99766.03012464728
2016-03-31,99950.05659196698
2016-04-01,99708.76298760972
2016-04-04,99442.71419529789
2016-04-05,99959.83415705354
2016-04-06,99715.15899004931
2016-04-07,100284.7643584532
2016-04-08,100223.88824987513
2016-04-11,100765.50124609929
2016-04-12,100772.2187019423
2016-04-13,100342.4341705719
2016-04-14,99781.45733351202
2016-04-15,100057.51483982863
2016-04-18,99996.42127305128
2016-04-19,100621.50642744248
2016-04-20,100416.19055724556
2016-04-21,100568.11786275526
2016-04-22,100052.72982080095
2016-04-25,100168.15377619294
2016-04-26,100327.4310797244
2016-04-27,100442.38213438872
2016-04-28,101201.77513863692
2016-04-29,101989.42869389473
2016-05-02,101813.41476688326
2016-05-03,101577.97135313554
2016-05-04,101181.76975216017
2016-05-05,101184.20106115639
2016-05-06,101775.11945359783
2016-05-09,99914.91741410259
2016-05-10,100366.44457621066
