,equity
2015-12-16,100000.0
2015-12-17,100000.0
2015-12-18,100000.0
2015-12-21,100000.0
2015-12-22,100000.0
2015-12-23,100000.0
2015-12-24,100000.0
2015-12-28,100000.0
2015-12-29,100000.0
2015-12-30,100000.0
2015-12-31,100000.0
2016-01-04,100000.0
2016-01-05,100000.0
2016-01-06,100000.0
2016-01-07,100000.0
2016-01-08,100000.0
2016-01-11,100000.0
2016-01-12,100000.0
2016-01-13,100000.0
2016-01-14,100000.0
2016-01-15,100000.0
2016-01-19,100000.0
2016-01-20,100000.0
2016-01-21,100000.0
2016-01-22,100000.0
2016-01-25,100000.0
2016-01-26,100000.0
2016-01-27,100000.0
2016-01-28,100000.0
2016-01-29,100000.0
2016-02-01,100000.0
2016-02-02,100000.0
2016-02-03,100000.0
2016-02-04,100000.0
2016-02-05,100000.0
2016-02-08,100000.0
2016-02-09,100000.0
2016-02-10,100000.0
2016-02-11,100000.0
2016-02-12,100000.0
2016-02-16,100000.0
2016-02-17,100000.0
2016-02-18,100000.0
2016-02-19,100000.0
2016-02-22,100000.0
2016-02-23,100000.0
2016-02-24,100000.0
2016-02-25,100000.0
2016-02-26,100000.0
2016-02-29,100000.0
2016-03-01,99970.0
2016-03-02,100201.7391577503
2016-03-03,100720.9855443444
2016-03-04,100673.43174838112
2016-03-07,100823.76501113568
2016-03-08,100683.94068587826
2016-03-09,100433.44158364667
2016-03-10,100917.21484252463
2016-03-11,100396.43309079377
2016-03-14,100007.99679366493
2016-03-15,100030.90428478603
2016-03-16,100699.981104643
2016-03-17,100584.74294097786
2016-03-18,100501.85178297014
2016-03-21,100290.4445574276
2016-03-22,100378.96549598049
2016-03-23,99697.48974528218
2016-03-24,99625.67298355968
2016-03-28,99695.04098023828
2016-03-29,100249.09326950804
2016-03-30,99828.71471033717
2016-03-31,99966.82128089723
2016-04-01,99785.8207233777
2016-04-04,99586.12992165299
2016-04-05,99974.52923360767
2016-04-06,99790.99588111654
2016-04-07,100218.52481113053
2016-04-08,100172.89788686417
2016-04-11,100578.90096890654
2016-04-12,100583.92973111416
2016-04-13,100262.19360934575
2016-04-14,99841.79742766617
2016-04-15,100048.96576104642
2016-04-18,100003.14950091459
2016-04-19,100471.994910702
2016-04-20,100318.23681416335
2016-04-21,100432.0711420348
2016-04-22,100046.05301624606
2016-04-25,100132.61520586228
2016-04-26,100252.03080112109
2016-04-27,100338.17929920985
2016-04-28,100907.13318450953
2016-04-29,101496.15345190186
2016-05-02,101364.7713831727
2016-05-03,101200.59359140662
2016-05-04,100924.12514424606
2016-05-05,100925.82369567717
2016-05-06,101338.64578331643
2016-05-09,100041.3487820477
2016-05-10,100357.99835592129
