window,train_start,train_end,test_start,test_end,momentum_days,top_n,trend_days,volatility_days,target_volatility,max_position,train_total_return,train_cagr,train_annualized_volatility,train_sharpe,train_max_drawdown,train_final_equity,test_observations,test_return,test_sharpe,test_max_drawdown
1,2010-12-16,2015-12-15,2015-12-16,2016-04-15,252,2,200,60,0.15,0.4,-0.24169999840088652,-0.053867956762492675,0.08404105426407163,-0.5807350211962502,-0.2659445397642505,0.7583000015991135,83.0,0.0005751483982863181,0.06150876977013915,-0.017591068792686015
2,2011-04-16,2016-04-15,2016-04-16,2016-08-15,252,2,200,60,0.15,0.4,-0.23923503354065545,-0.053281629897986904,0.08103010239273244,-0.6002160094985989,-0.2439095329269768,0.7607649664593445,84.0,0.0045012024820876295,0.17581259645562786,-0.055911134931178275
3,2011-08-16,2016-08-15,2016-08-16,2016-12-15,126,2,200,60,0.15,0.4,-0.16160467460373695,-0.03464361482482603,0.0900024900143781,-0.3119582599568308,-0.247993360735435,0.838395325396263,86.0,0.0021430844983396646,0.1191674848950901,-0.11223433323279997
4,2011-12-16,2016-12-15,2016-12-16,2017-04-15,126,2,200,60,0.15,0.4,-0.14131300841351502,-0.0300146724003032,0.09759938213111459,-0.2287204996885376,-0.245529708828492,0.858686991586485,81.0,-0.013411517116418192,-0.26006885419928194,-0.05270016140725797
5,2012-04-16,2017-04-15,2017-04-16,2017-08-15,126,2,200,60,0.15,0.4,-0.10272901554717606,-0.02148398165826726,0.09951251842620518,-0.13362093818536852,-0.1975809428938502,0.8972709844528239,85.0,0.038768611035177036,1.1063309077416825,-0.04258783741503036
6,2012-08-16,2017-08-15,2017-08-16,2017-12-15,126,2,200,60,0.15,0.4,0.06662607525151443,0.012992608779921477,0.09651366970995856,0.21823205597508175,-0.1501112493459933,1.0666260752515144,86.0,0.06282920170337158,1.4658206691558087,-0.045135333430453284
7,2012-12-16,2017-12-15,2017-12-16,2018-04-15,126,2,200,60,0.15,0.4,0.17235897212400575,0.03235522519359879,0.09699590696791521,0.41544006911695197,-0.15011124934599462,1.1723589721240057,80.0,0.12155492246617716,2.31883597894861,-0.0847927431875134
8,2013-04-16,2018-04-15,2018-04-16,2018-08-15,126,2,200,60,0.15,0.4,0.23562029219189218,0.04330134790122786,0.09767505877954981,0.5224568655142395,-0.15011124934599385,1.2356202921918922,86.0,0.0030508922438485797,0.1344746045668292,-0.06230935000217519
9,2013-08-16,2018-08-15,2018-08-16,2018-12-15,126,2,200,60,0.15,0.4,0.2205508016433626,0.04069394807398785,0.09994794740737974,0.48412432980388576,-0.12123425362165918,1.2205508016433626,84.0,0.10717278993926871,1.270212075714518,-0.10121599374545676
10,2013-12-16,2018-12-15,2018-12-16,2019-04-15,126,2,200,60,0.15,0.4,0.4820821461149154,0.0819734677817221,0.11969166244239174,0.7465411980159887,-0.12123425362165885,1.4820821461149154,82.0,-0.06516432656859161,-2.0322743275091257,-0.07905822014195552
11,2014-04-16,2019-04-15,2019-04-16,2019-08-15,126,2,200,60,0.15,0.4,0.38655212880688006,0.06759537505461832,0.12206891050453902,0.6284850381303669,-0.13602947811474897,1.38655212880688,85.0,0.006306365662258173,0.23910548777176685,-0.04994425503358435
12,2014-08-16,2019-08-15,2019-08-16,2019-12-15,126,2,200,60,0.15,0.4,0.38788739955774676,0.0678779121383013,0.12450166156925048,0.6240161696784984,-0.16953565025839257,1.3878873995577468,84.0,-0.014122482195274899,-0.22982714528339784,-0.08921679662192394
13,2014-12-16,2019-12-15,2019-12-16,2020-04-15,126,2,200,60,0.15,0.4,0.3721020198127285,0.06543330016696802,0.12921815354798002,0.5896816292845237,-0.16953565025839257,1.3721020198127285,83.0,0.020475749178999303,0.5014740893472978,-0.09905247180425925
