date,equity,cash,positions
2021-07-07,99974.4,48776.96,20
2021-07-08,99623.3,48776.96,20
2021-07-09,100481.72,48776.96,20
2021-07-12,100616.93,48383.66,20
2021-07-13,100066.72,48424.15,20
2021-07-14,99374.03,48424.15,20
2021-07-15,98802.71,47390.93,20
2021-07-16,98102.16,45062.04,20
2021-07-19,97909.09,42882.2,20
2021-07-20,98838.28,42882.2,20
2021-07-21,99857.79,44253.57,20
2021-07-22,99758.74,42955.48,20
2021-07-23,100292.18,43143.14,20
2021-07-26,99878.68,42991.36,20
2021-07-27,99582.51,42125.25,20
2021-07-28,100001.39,42704.73,20
2021-07-29,100186.79,42261.66,20
2021-07-30,100164.9,42077.65,20
2021-08-02,100337.28,42077.65,20
2021-08-03,100790.86,42077.65,20
2021-08-04,101095.25,41016.14,20
2021-08-05,101255.77,41016.14,20
2021-08-06,101192.94,40625.09,20
2021-08-09,101272.42,40741.76,20
2021-08-10,100639.86,40741.76,20
2021-08-11,100480.64,40872.31,20
2021-08-12,100640.34,40077.26,20
2021-08-13,100677.48,40077.26,20
2021-08-16,100295.24,40915.83,20
2021-08-17,100194.79,39963.32,20
2021-08-18,99799.69,38743.1,20
2021-08-19,99875.2,38743.1,20
2021-08-20,100297.66,38743.1,20
2021-08-23,101075.29,37767.08,20
2021-08-24,102385.82,38222.15,20
2021-08-25,102552.46,40059.23,20
2021-08-26,102493.5,40267.06,20
2021-08-27,103928.26,40267.06,20
2021-08-30,104184.62,41362.02,20
2021-08-31,104065.28,41362.02,20
2021-09-01,104200.21,41362.02,20
2021-09-02,104296.15,41362.02,20
2021-09-03,104521.0,41362.02,20
2021-09-07,103591.03,41734.16,20
2021-09-08,103056.49,41734.16,20
2021-09-09,102651.09,39964.76,20
2021-09-10,102134.09,39170.23,20
2021-09-13,102246.49,39170.23,20
2021-09-14,102344.05,39170.23,20
2021-09-15,102605.51,39170.23,20
2021-09-16,102920.15,37680.85,20
2021-09-17,102007.54,35851.27,20
2021-09-20,100845.91,35064.67,20
