date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2021-07-07,BUY,IBM,36.0,109.9213,3957.17,0.8053,score=+0.81 sector=other,96040.85,99998.02
2021-07-07,BUY,FN,35.0,91.51,3202.85,0.6478,score=+0.65 sector=other,92836.4,99996.42
2021-07-07,BUY,DELL,59.0,45.883,2707.1,0.5464,score=+0.55 sector=ai_infra,90127.95,99995.07
2021-07-07,BUY,JBL,47.0,56.5639,2658.5,0.5358,score=+0.54 sector=other,87468.12,99993.74
2021-07-07,BUY,IRM,75.0,35.1894,2639.2,0.5306,score=+0.53 sector=data_centers,84827.59,99992.42
2021-07-07,BUY,TER,20.0,121.0565,2421.13,0.5029,score=+0.50 sector=semiconductors,82405.25,99991.21
2021-07-07,BUY,SE,9.0,267.86,2410.74,0.4929,score=+0.49 sector=other,79993.31,99990.0
2021-07-07,BUY,AMAT,19.0,129.3068,2456.83,0.4886,score=+0.49 sector=semiconductors,77535.25,99988.77
2021-07-07,BUY,ONTO,36.0,68.68,2472.48,0.4604,score=+0.46 sector=semiconductors,75061.53,99987.54
2021-07-07,BUY,NTAP,34.0,73.4212,2496.32,0.4603,score=+0.46 sector=cloud_infra,72563.97,99986.29
2021-07-07,BUY,ARQQ,10.0,247.75,2477.5,0.4501,score=+0.45 sector=quantum,70085.23,99985.05
2021-07-07,BUY,ASML,3.0,659.3394,1978.02,0.4403,score=+0.44 sector=ai_infra,68106.22,99984.06
2021-07-07,BUY,RBLX,28.0,86.4,2419.2,0.4384,score=+0.44 sector=software,65685.81,99982.85
2021-07-07,BUY,NTNX,66.0,37.43,2470.38,0.431,score=+0.43 sector=cloud_infra,63214.2,99981.62
2021-07-07,BUY,ADI,16.0,152.4115,2438.58,0.4304,score=+0.43 sector=semiconductors,60774.39,99980.4
2021-07-07,BUY,APPS,38.0,64.45,2449.1,0.4132,score=+0.41 sector=software,58324.07,99979.17
2021-07-07,BUY,EQIX,3.0,750.2965,2250.89,0.4131,score=+0.41 sector=cloud_infra,56072.05,99978.05
2021-07-07,BUY,ARKQ,30.0,81.918,2457.54,0.4114,score=+0.41 sector=etf_tech,53613.28,99976.82
2021-07-07,BUY,OUST,20.0,119.5,2390.0,0.4027,score=+0.40 sector=ev_mobility,51222.09,99975.62
2021-07-07,BUY,SAP,18.0,135.7723,2443.9,0.3971,score=+0.40 sector=software,48776.96,99974.4
2021-07-12,SELL,APPS,38.0,64.53,2452.14,-0.2852,score=-0.29 <= exit_thr=+0.00,51227.88,100618.35
2021-07-12,BUY,BOX,115.0,24.72,2842.8,0.5694,score=+0.57 sector=cloud_infra,48383.66,100616.93
2021-07-13,STOP,DELL,59.0,43.2404,2551.19,,stop pl=-5.76% vs -5.48%,50933.57,100067.97
2021-07-13,BUY,XPEV,64.0,39.19,2508.16,0.5046,score=+0.50 sector=ev_mobility,48424.15,100066.72
2021-07-15,SELL,ARQQ,10.0,248.5,2485.0,-0.3076,score=-0.31 <= exit_thr=+0.00,50907.91,98804.47
2021-07-15,BUY,PATH,59.0,59.58,3515.22,0.721,score=+0.72 sector=software,47390.93,98802.71
2021-07-16,STOP,NTAP,34.0,69.2587,2354.79,,stop pl=-5.67% vs -5.57%,49744.55,98110.24
2021-07-16,STOP,NTNX,66.0,33.94,2240.04,,stop pl=-9.32% vs -8.66%,51983.47,98109.12
2021-07-16,SELL,PATH,59.0,59.36,3502.24,-0.0739,score=-0.07 <= exit_thr=+0.00,55483.96,98107.37
2021-07-16,BUY,VRT,137.0,26.4336,3621.41,0.7432,score=+0.74 sector=ai_infra,51860.74,98105.56
2021-07-16,BUY,WCLD,63.0,54.49,3432.87,0.7006,score=+0.70 sector=etf_tech,48426.16,98103.85
2021-07-16,BUY,DELL,79.0,42.5625,3362.44,0.6908,score=+0.69 sector=ai_infra,45062.04,98102.16
2021-07-19,STOP,JBL,47.0,52.7458,2479.05,,stop pl=-6.75% vs -6.01%,47539.85,97913.46
2021-07-19,STOP,OUST,20.0,102.4,2048.0,,stop pl=-14.31% vs -12.00%,49586.83,97912.44
2021-07-19,BUY,NTAP,50.0,69.196,3459.8,0.7076,score=+0.71 sector=cloud_infra,46125.3,97910.71
2021-07-19,BUY,NVDA,173.0,18.7368,3241.47,0.6624,score=+0.66 sector=mega_cap_tech,42882.2,97909.09
2021-07-21,SELL,IBM,36.0,111.0848,3999.05,-0.1064,score=-0.11 <= exit_thr=+0.00,46879.26,99867.55
2021-07-21,SELL,TER,20.0,125.9795,2519.59,-0.198,score=-0.20 <= exit_thr=+0.00,49397.59,99866.29
2021-07-21,SELL,ARKQ,30.0,80.9383,2428.15,-0.3417,score=-0.34 <= exit_thr=+0.00,51824.52,99865.08
2021-07-21,SELL,DELL,79.0,44.3703,3505.26,-0.0104,score=-0.01 <= exit_thr=+0.00,55328.03,99863.33
2021-07-21,BUY,STM,82.0,36.9315,3028.38,0.6129,score=+0.61 sector=semiconductors,52298.13,99861.81
2021-07-21,BUY,DBX,93.0,30.52,2838.36,0.5696,score=+0.57 sector=software,49458.35,99860.39
2021-07-21,BUY,ANET,122.0,22.9481,2799.67,0.5611,score=+0.56 sector=ai_infra,46657.28,99858.99
2021-07-21,BUY,META,7.0,343.216,2402.51,0.532,score=+0.53 sector=mega_cap_tech,44253.57,99857.79
2021-07-22,STOP,SAP,18.0,128.0869,2305.57,,stop pl=-5.66% vs -4.74%,46557.98,99766.73
2021-07-22,SELL,FN,35.0,91.44,3200.4,-0.0325,score=-0.03 <= exit_thr=+0.00,49756.78,99765.13
2021-07-22,SELL,STM,82.0,36.5191,2994.57,-0.0826,score=-0.08 <= exit_thr=+0.00,52749.85,99763.63
2021-07-22,BUY,BOX,54.0,23.3,1258.2,0.7926,score=+0.79 sector=cloud_infra,51491.02,99763.0
2021-07-22,BUY,NFLX,65.0,51.177,3326.5,0.6681,score=+0.67 sector=other,48162.85,99761.34
2021-07-22,BUY,DLR,21.0,129.8179,2726.18,0.5618,score=+0.56 sector=cloud_infra,45435.31,99759.98
2021-07-22,BUY,RMBS,108.0,22.95,2478.6,0.4743,score=+0.47 sector=semiconductors,42955.48,99758.74
2021-07-23,STOP,XPEV,64.0,41.0,2624.0,,trailing lock hw=11.94% now=4.62%,45578.16,100293.39
2021-07-23,BUY,CCI,16.0,152.113,2433.81,0.5152,score=+0.52 sector=data_centers,43143.14,100292.18
2021-07-26,SELL,ONTO,36.0,66.67,2400.12,-0.4492,score=-0.45 <= exit_thr=+0.00,45542.06,99879.95
2021-07-26,BUY,SAP,20.0,127.471,2549.42,0.5155,score=+0.52 sector=software,42991.36,99878.68
2021-07-27,STOP,SE,9.0,270.92,2438.28,,trailing lock hw=11.13% now=1.14%,45428.42,99584.16
2021-07-27,BUY,RGTI,339.0,9.739,3301.52,0.6632,score=+0.66 sector=quantum,42125.25,99582.51
2021-07-28,SELL,NFLX,65.0,51.93,3375.45,-0.1819,score=-0.18 <= exit_thr=+0.00,45499.01,100006.07
2021-07-28,SELL,RGTI,339.0,9.71,3291.69,-0.2464,score=-0.25 <= exit_thr=+0.00,48789.06,100004.43
2021-07-28,BUY,QRVO,17.0,190.34,3235.78,0.6549,score=+0.65 sector=semiconductors,45551.66,100002.81
2021-07-28,BUY,SOXX,20.0,142.2755,2845.51,0.5924,score=+0.59 sector=etf_tech,42704.73,100001.39
2021-07-29,SELL,RBLX,28.0,76.85,2151.8,-0.0664,score=-0.07 <= exit_thr=+0.00,44855.45,100188.09
2021-07-29,BUY,SHOP,17.0,152.5,2592.5,0.5264,score=+0.53 sector=software,42261.66,100186.79
2021-07-30,SELL,ADI,16.0,154.2448,2467.92,-0.0692,score=-0.07 <= exit_thr=+0.00,44728.34,100171.79
2021-07-30,SELL,SAP,20.0,132.1227,2642.45,-0.1265,score=-0.13 <= exit_thr=+0.00,47369.47,100170.47
2021-07-30,SELL,SOXX,20.0,146.3662,2927.32,-0.0072,score=-0.01 <= exit_thr=+0.00,50295.33,100169.0
2021-07-30,BUY,PYPL,12.0,274.0647,3288.78,0.6636,score=+0.66 sector=fintech,47004.91,100167.36
2021-07-30,BUY,ARQQ,10.0,247.25,2472.5,0.5181,score=+0.52 sector=quantum,44531.18,100166.12
2021-07-30,BUY,ORCL,30.0,81.7434,2452.3,0.4782,score=+0.48 sector=software,42077.65,100164.9
2021-08-04,SELL,ARQQ,10.0,248.5,2485.0,-0.1822,score=-0.18 <= exit_thr=+0.00,44561.4,101097.02
2021-08-04,BUY,EA,26.0,136.2883,3543.49,0.7147,score=+0.71 sector=other,41016.14,101095.25
2021-08-06,SELL,PYPL,12.0,278.0534,3336.64,-0.0972,score=-0.10 <= exit_thr=+0.00,44351.11,101194.8
2021-08-06,BUY,EA,5.0,132.8107,664.05,0.8151,score=+0.82 sector=other,43686.72,101194.47
2021-08-06,BUY,SWKS,19.0,161.058,3060.1,0.6105,score=+0.61 sector=semiconductors,40625.09,101192.94
2021-08-09,SELL,NTAP,50.0,73.6271,3681.35,-0.047,score=-0.05 <= exit_thr=+0.00,44304.61,101274.21
2021-08-09,BUY,PANW,55.0,64.7467,3561.07,0.714,score=+0.71 sector=cybersecurity,40741.76,101272.42
2021-08-11,STOP,NVDA,173.0,19.654,3400.14,,trailing lock hw=9.89% now=4.89%,44140.2,100482.27
2021-08-11,BUY,ROP,7.0,466.608,3266.26,0.6882,score=+0.69 sector=other,40872.31,100480.64
2021-08-12,STOP,RMBS,108.0,24.0,2592.0,,trailing lock hw=8.98% now=4.58%,43463.01,100646.23
2021-08-12,SELL,EA,31.0,135.3921,4197.15,-0.1748,score=-0.17 <= exit_thr=+0.00,47658.07,100644.13
2021-08-12,BUY,ROP,1.0,465.6562,465.66,0.749,score=+0.75 sector=other,47192.18,100643.9
2021-08-12,BUY,VEEV,10.0,320.5,3205.0,0.6852,score=+0.69 sector=software,43985.57,100642.3
2021-08-12,BUY,ANET,24.0,22.9369,550.48,0.6697,score=+0.67 sector=ai_infra,43434.81,100642.02
2021-08-12,BUY,ARKK,28.0,119.8528,3355.88,0.6686,score=+0.67 sector=etf_tech,40077.26,100640.34
2021-08-16,STOP,BOX,169.0,25.32,4279.08,,trailing lock hw=8.71% now=4.34%,44354.2,100300.56
2021-08-16,STOP,WCLD,63.0,57.15,3600.45,,trailing lock hw=9.12% now=4.88%,47952.85,100298.76
2021-08-16,BUY,V,16.0,227.0315,3632.5,0.7684,score=+0.77 sector=fintech,44318.53,100296.94
2021-08-16,BUY,FN,38.0,89.5,3401.0,0.6842,score=+0.68 sector=other,40915.83,100295.24
2021-08-17,SELL,DLR,21.0,136.2591,2861.44,-0.0055,score=-0.01 <= exit_thr=+0.00,43775.84,100196.7
2021-08-17,BUY,PANW,10.0,60.9617,609.62,0.8027,score=+0.80 sector=cybersecurity,43165.92,100196.39
2021-08-17,BUY,CRWD,55.0,58.2,3201.0,0.6399,score=+0.64 sector=cybersecurity,39963.32,100194.79
2021-08-18,SELL,FN,38.0,98.77,3753.26,-0.0093,score=-0.01 <= exit_thr=+0.00,43714.7,99802.18
2021-08-18,BUY,PANW,12.0,60.3933,724.72,0.9433,score=+0.94 sector=cybersecurity,42989.62,99801.82
2021-08-18,BUY,FDN,18.0,235.8,4244.4,0.8966,score=+0.90 sector=etf_tech,38743.1,99799.69
2021-08-23,SELL,ARKK,28.0,117.5216,3290.61,-0.059,score=-0.06 <= exit_thr=+0.00,42032.06,101077.43
2021-08-23,BUY,MTSI,71.0,60.04,4262.84,0.8491,score=+0.85 sector=semiconductors,37767.08,101075.29
