date,equity
2025-07-14,99962.33
2025-07-15,100019.0
2025-07-16,99979.81
2025-07-17,100343.21
2025-07-18,100502.35
2025-07-21,100890.8
2025-07-22,100233.01
2025-07-23,100409.87
2025-07-24,100578.04
2025-07-25,100819.97
2025-07-28,101121.08
2025-07-29,101069.66
2025-07-30,101123.42
2025-07-31,100313.99
2025-08-01,98724.63
2025-08-04,100134.51
2025-08-05,99304.83
2025-08-06,100075.48
2025-08-07,99677.86
2025-08-08,99993.6
2025-08-11,99535.7
2025-08-12,101269.18
2025-08-13,101461.0
2025-08-14,101195.17
2025-08-15,100884.99
2025-08-18,101007.76
2025-08-19,99960.81
2025-08-20,99541.54
2025-08-21,99013.57
2025-08-22,100552.4
2025-08-25,100567.6
2025-08-26,101069.62
2025-08-27,101067.44
2025-08-28,101511.59
2025-08-29,100176.66
2025-09-02,99517.83
2025-09-03,100186.35
2025-09-04,100921.47
2025-09-05,100923.21
2025-09-08,101559.17
2025-09-09,101897.57
2025-09-10,102058.76
2025-09-11,102842.55
2025-09-12,103015.0
2025-09-15,103991.31
2025-09-16,103853.33
2025-09-17,103771.68
2025-09-18,104814.85
2025-09-19,105303.5
2025-09-22,106198.74
2025-09-23,105780.21
2025-09-24,105157.91
2025-09-25,104749.98
2025-09-26,105356.32
2025-09-29,106036.94
2025-09-30,106483.51
2025-10-01,107268.86
2025-10-02,108000.52
2025-10-03,107577.69
2025-10-06,109203.45
2025-10-07,108708.44
2025-10-08,110302.55
2025-10-09,110051.75
2025-10-10,106466.81
2025-10-13,108328.36
2025-10-14,108000.08
2025-10-15,108994.8
2025-10-16,108648.07
2025-10-17,109132.29
2025-10-20,110157.08
2025-10-21,109953.21
2025-10-22,109190.27
2025-10-23,110261.19
2025-10-24,111437.89
2025-10-27,113221.04
2025-10-28,113404.16
2025-10-29,114225.98
2025-10-30,113525.0
2025-10-31,114044.65
2025-11-03,114368.55
2025-11-04,112416.21
2025-11-05,113509.33
2025-11-06,111896.91
2025-11-07,111478.93
2025-11-10,113408.68
2025-11-11,113156.55
2025-11-12,112927.01
2025-11-13,110859.37
2025-11-14,110842.67
2025-11-17,109866.83
2025-11-18,108757.13
2025-11-19,109151.51
2025-11-20,106541.26
2025-11-21,107125.85
2025-11-24,109205.33
2025-11-25,110131.15
2025-11-26,110614.2
2025-11-28,111340.46
2025-12-01,110991.57
2025-12-02,111884.48
2025-12-03,112156.99
2025-12-04,111969.12
2025-12-05,112204.22
2025-12-08,112277.42
2025-12-09,112412.53
2025-12-10,112986.2
2025-12-11,112848.45
2025-12-12,111326.4
2025-12-15,111048.15
2025-12-16,111207.54
2025-12-17,109404.23
2025-12-18,110558.7
2025-12-19,111648.69
2025-12-22,112076.68
2025-12-23,112487.07
2025-12-24,112627.92
2025-12-26,112651.1
2025-12-29,112322.71
2025-12-30,112106.18
2025-12-31,111462.83
2026-01-02,111887.83
2026-01-05,112710.89
2026-01-06,114024.87
2026-01-07,114197.25
2026-01-08,113503.15
2026-01-09,114112.49
2026-01-12,114613.56
2026-01-13,114404.78
2026-01-14,113536.89
2026-01-15,113887.34
2026-01-16,113799.99
2026-01-20,111804.51
2026-01-21,113036.21
2026-01-22,113708.73
2026-01-23,113596.57
2026-01-26,114139.57
2026-01-27,114895.78
2026-01-28,115246.33
