date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2025-07-14,BUY,QQQ,90.0,553.5441,49818.97,0.2112,benchmark core target=50%,50156.12,99975.09
2025-07-14,BUY,INTU,5.0,744.3876,3721.94,0.7482,score=+0.75 sector=software,46432.33,99973.23
2025-07-14,BUY,NFLX,28.0,126.195,3533.46,0.7169,score=+0.72 sector=other,42897.1,99971.46
2025-07-14,BUY,ZS,12.0,291.14,3493.68,0.7135,score=+0.71 sector=cybersecurity,39401.67,99969.72
2025-07-14,BUY,CRWD,28.0,119.045,3333.26,0.6684,score=+0.67 sector=cybersecurity,36066.75,99968.05
2025-07-14,BUY,NET,16.0,182.9,2926.4,0.6166,score=+0.62 sector=cloud_infra,33138.88,99966.59
2025-07-14,BUY,VEEV,10.0,282.28,2822.8,0.6162,score=+0.62 sector=software,30314.67,99965.17
2025-07-14,BUY,SNOW,13.0,213.52,2775.76,0.5961,score=+0.60 sector=cloud_infra,27537.52,99963.79
2025-07-14,BUY,NTES,23.0,126.8042,2916.5,0.5944,score=+0.59 sector=china_tech,24619.57,99962.33
2025-07-15,BUY,MU,28.0,119.9175,3357.69,0.6889,score=+0.69 sector=semiconductors,21260.2,100019.36
2025-07-15,BUY,MPWR,1.0,712.6335,712.63,0.5659,score=+0.57 sector=semiconductors,20547.21,100019.0
2025-07-16,BUY,DIS,4.0,118.1097,472.44,0.6377,score=+0.64 sector=other,20074.53,99979.81
2025-07-23,STOP,NET,16.0,189.15,3026.4,,trailing lock hw=8.12% now=3.42%,23099.42,100411.33
2025-07-23,BUY,ADI,13.0,225.0589,2925.77,0.7837,score=+0.78 sector=semiconductors,20172.19,100409.87
2025-07-25,STOP,NFLX,28.0,118.049,3305.37,,stop pl=-6.46% vs -6.37%,23475.91,100821.53
2025-07-25,BUY,JBL,14.0,222.2599,3111.64,0.7074,score=+0.71 sector=other,20362.72,100819.97
2025-07-28,STOP,NTES,23.0,128.737,2960.95,,trailing lock hw=8.21% now=1.52%,23322.19,101122.6
2025-07-28,BUY,SE,19.0,160.74,3054.06,0.63,score=+0.63 sector=other,20266.6,101121.08
2025-07-31,STOP,MU,28.0,108.9651,3051.02,,stop pl=-9.13% vs -8.84%,23316.1,100315.61
2025-07-31,BUY,DIS,23.0,117.4099,2700.43,0.6831,score=+0.68 sector=other,20614.32,100314.26
2025-07-31,BUY,LOGI,6.0,91.5624,549.37,0.6518,score=+0.65 sector=other,20064.67,100313.99
2025-08-07,STOP,CRWD,28.0,106.25,2975.0,,stop pl=-10.75% vs -9.09%,23038.18,99683.12
2025-08-07,STOP,MPWR,1.0,792.3953,792.4,,trailing lock hw=15.75% now=11.19%,23830.18,99682.72
2025-08-07,STOP,DIS,27.0,111.2688,3004.26,,stop pl=-5.31% vs -5.26%,26832.94,99681.22
2025-08-07,BUY,STX,21.0,146.8872,3084.63,0.6338,score=+0.63 sector=cloud_infra,23746.77,99679.68
2025-08-07,BUY,ROK,9.0,327.9508,2951.56,0.5979,score=+0.60 sector=robotics,20793.73,99678.2
2025-08-07,BUY,AMD,4.0,172.4,689.6,0.593,score=+0.59 sector=ai_infra,20103.79,99677.86
2025-08-08,STOP,SNOW,13.0,191.73,2492.49,,stop pl=-10.21% vs -9.71%,22595.03,99994.87
2025-08-08,BUY,LRCX,25.0,101.19,2529.75,0.6015,score=+0.60 sector=semiconductors,20064.02,99993.6
2025-08-14,SELL,ADI,13.0,233.0812,3030.06,-0.378,score=-0.38 <= exit_thr=+0.00,23092.56,101196.5
