date,equity
2021-07-22,99967.37
2021-07-23,100664.53
2021-07-26,100522.98
2021-07-27,99629.07
2021-07-28,99941.63
2021-07-29,99976.34
2021-07-30,99594.2
2021-08-02,99650.26
2021-08-03,100139.93
2021-08-04,100430.92
2021-08-05,100945.94
2021-08-06,100709.21
2021-08-09,100878.41
2021-08-10,100347.8
2021-08-11,100250.91
2021-08-12,100672.89
2021-08-13,100847.51
2021-08-16,100537.78
2021-08-17,99928.98
2021-08-18,99262.54
2021-08-19,99646.16
2021-08-20,100437.27
2021-08-23,101614.99
2021-08-24,101881.95
2021-08-25,102032.1
2021-08-26,101574.61
2021-08-27,102553.36
2021-08-30,103408.59
2021-08-31,103231.66
2021-09-01,103508.23
2021-09-02,103484.77
2021-09-03,103757.82
2021-09-07,103525.42
2021-09-08,102924.91
2021-09-09,102649.3
2021-09-10,102018.27
2021-09-13,101690.34
2021-09-14,101598.1
2021-09-15,102157.5
2021-09-16,102279.76
2021-09-17,101421.06
2021-09-20,99709.32
2021-09-21,99809.57
2021-09-22,100559.01
2021-09-23,101403.22
2021-09-24,101387.51
2021-09-27,100501.69
2021-09-28,97921.29
2021-09-29,97576.96
2021-09-30,97379.41
2021-10-01,97882.04
2021-10-04,95910.65
2021-10-05,96928.8
2021-10-06,97219.84
2021-10-07,98148.53
2021-10-08,97688.83
2021-10-11,96991.29
2021-10-12,96756.61
2021-10-13,97650.94
2021-10-14,98970.39
2021-10-15,99366.37
2021-10-18,100193.9
2021-10-19,100847.62
2021-10-20,100757.08
2021-10-21,101385.01
2021-10-22,100828.38
2021-10-25,101319.85
2021-10-26,101272.39
2021-10-27,101137.99
2021-10-28,102485.51
2021-10-29,102462.1
2021-11-01,102917.25
2021-11-02,102862.81
2021-11-03,103854.91
2021-11-04,104536.05
2021-11-05,104298.09
2021-11-08,104770.7
2021-11-09,104282.36
2021-11-10,103004.76
2021-11-11,103657.36
2021-11-12,104491.6
2021-11-15,104418.28
2021-11-16,105813.83
2021-11-17,105265.78
2021-11-18,105899.13
2021-11-19,106434.69
2021-11-22,105302.78
2021-11-23,104677.36
2021-11-24,105413.59
2021-11-26,103770.81
2021-11-29,105647.32
2021-11-30,103851.47
2021-12-01,102160.55
2021-12-02,102991.61
2021-12-03,101737.96
2021-12-06,101870.16
2021-12-07,104694.03
2021-12-08,105029.95
2021-12-09,103714.54
