date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2021-07-22,BUY,QQQ,141.0,353.2096,49802.55,0.3623,benchmark core target=50%,50172.55,99975.1
2021-07-22,BUY,IRM,79.0,35.8642,2833.27,0.5674,score=+0.57 sector=data_centers,47337.86,99973.68
2021-07-22,BUY,DBX,91.0,30.57,2781.87,0.5624,score=+0.56 sector=software,44554.6,99972.29
2021-07-22,BUY,NVDA,134.0,19.5265,2616.55,0.5265,score=+0.53 sector=mega_cap_tech,41936.74,99970.98
2021-07-22,BUY,EQIX,3.0,743.9612,2231.88,0.5215,score=+0.52 sector=cloud_infra,39703.74,99969.87
2021-07-22,BUY,ANET,107.0,23.3356,2496.91,0.5037,score=+0.50 sector=ai_infra,37205.58,99968.62
2021-07-22,BUY,RMBS,109.0,22.95,2501.55,0.503,score=+0.50 sector=semiconductors,34702.78,99967.37
2021-07-23,BUY,BOX,128.0,24.06,3079.68,0.6135,score=+0.61 sector=cloud_infra,31621.56,100665.88
2021-07-23,BUY,VRT,98.0,27.608,2705.58,0.5424,score=+0.54 sector=ai_infra,28914.62,100664.53
2021-07-26,BUY,LI,84.0,30.77,2584.68,0.5154,score=+0.52 sector=ev_mobility,26328.65,100522.98
2021-07-27,STOP,LI,84.0,26.48,2224.32,,stop pl=-13.94% vs -12.00%,28551.86,99629.07
2021-07-28,BUY,ADBE,4.0,620.92,2483.68,0.531,score=+0.53 sector=software,26066.94,99944.06
2021-07-28,BUY,PYPL,8.0,299.3872,2395.1,0.5097,score=+0.51 sector=fintech,23670.64,99942.86
2021-07-28,BUY,SHOP,16.0,153.8,2460.8,0.5032,score=+0.50 sector=software,21208.61,99941.63
2021-07-29,BUY,SE,4.0,285.01,1140.04,0.5579,score=+0.56 sector=other,20068.0,99976.34
2021-07-30,STOP,PYPL,8.0,273.1642,2185.31,,stop pl=-8.76% vs -6.72%,22252.22,99595.26
2021-07-30,BUY,META,6.0,353.1983,2119.19,0.5096,score=+0.51 sector=mega_cap_tech,20131.97,99594.2
2021-08-12,STOP,RMBS,109.0,24.0,2616.0,,trailing lock hw=8.98% now=4.58%,22746.67,100674.17
2021-08-12,BUY,VEEV,8.0,320.5,2564.0,0.6116,score=+0.61 sector=software,20181.38,100672.89
2021-08-16,STOP,BOX,128.0,25.32,3240.96,,trailing lock hw=9.64% now=5.24%,23420.72,100539.42
2021-08-16,BUY,RMBS,116.0,23.92,2774.72,0.5566,score=+0.56 sector=semiconductors,20644.62,100538.03
2021-08-16,BUY,ONTO,7.0,71.54,500.78,0.5307,score=+0.53 sector=semiconductors,20143.59,100537.78
2021-08-20,STOP,SE,4.0,309.33,1237.32,,trailing lock hw=12.67% now=8.53%,21380.29,100437.9
2021-08-20,BUY,QLD,33.0,38.047,1255.55,0.748,score=+0.75 sector=etf_tech,20124.11,100437.27
2021-08-25,SELL,ONTO,7.0,72.76,509.32,-0.0082,score=-0.01 <= exit_thr=+0.00,20633.17,102032.1
2021-09-08,STOP,VRT,98.0,25.8663,2534.9,,stop pl=-6.31% vs -6.09%,23166.81,102926.17
2021-09-08,BUY,FTNT,41.0,61.84,2535.44,0.6168,score=+0.62 sector=cybersecurity,20630.1,102924.91
2021-09-10,STOP,IRM,79.0,38.6952,3056.92,,trailing lock hw=13.47% now=7.89%,23685.49,102022.24
2021-09-10,STOP,ANET,107.0,21.9325,2346.78,,stop pl=-6.01% vs -4.76%,26031.09,102021.07
2021-09-10,BUY,FTNT,12.0,62.098,745.18,0.646,score=+0.65 sector=cybersecurity,25285.54,102020.7
2021-09-10,BUY,SE,8.0,325.5,2604.0,0.5527,score=+0.55 sector=other,22680.24,102019.4
2021-09-10,BUY,DIOD,24.0,93.63,2247.12,0.5433,score=+0.54 sector=semiconductors,20432.0,102018.27
2021-09-13,STOP,VEEV,8.0,298.98,2391.84,,stop pl=-6.71% vs -6.25%,22822.64,101691.54
