date,equity
2021-07-22,99967.15
2021-07-23,100664.05
2021-07-26,100514.59
2021-07-27,99621.55
2021-07-28,99936.17
2021-07-29,99983.0
2021-07-30,99633.35
2021-08-02,99705.44
2021-08-03,100206.89
2021-08-04,100415.22
2021-08-05,100853.12
2021-08-06,100614.4
2021-08-09,100762.52
2021-08-10,100231.83
2021-08-11,100161.09
2021-08-12,100562.32
2021-08-13,100756.79
2021-08-16,100481.82
2021-08-17,99848.74
2021-08-18,99125.71
2021-08-19,99551.99
2021-08-20,100386.64
2021-08-23,101512.29
2021-08-24,101730.63
2021-08-25,101868.44
2021-08-26,101447.85
2021-08-27,102424.48
2021-08-30,103250.48
2021-08-31,103073.82
2021-09-01,103395.82
2021-09-02,103464.17
2021-09-03,103748.81
2021-09-07,103467.51
2021-09-08,102888.45
2021-09-09,102561.98
2021-09-10,101919.69
2021-09-13,101651.16
2021-09-14,101522.07
2021-09-15,102100.3
2021-09-16,102182.17
2021-09-17,101342.23
2021-09-20,99736.93
2021-09-21,99764.99
2021-09-22,100482.94
2021-09-23,101192.77
2021-09-24,101099.79
2021-09-27,100196.77
2021-09-28,97881.76
2021-09-29,97577.43
2021-09-30,97242.93
2021-10-01,97717.71
2021-10-04,95813.8
2021-10-05,96817.67
2021-10-06,97104.7
2021-10-07,97915.77
2021-10-08,97395.95
2021-10-11,96823.65
2021-10-12,96401.73
2021-10-13,97106.24
2021-10-14,98540.97
2021-10-15,98818.3
2021-10-18,99615.4
2021-10-19,100267.71
2021-10-20,100400.57
2021-10-21,100839.65
2021-10-22,100078.24
2021-10-25,100731.01
2021-10-26,100729.18
2021-10-27,100401.02
2021-10-28,101745.0
2021-10-29,102813.44
2021-11-01,103194.11
2021-11-02,103183.77
2021-11-03,104242.38
2021-11-04,105284.94
2021-11-05,105055.95
2021-11-08,105224.34
2021-11-09,104805.37
2021-11-10,103590.96
2021-11-11,104236.19
2021-11-12,105271.71
2021-11-15,105263.65
2021-11-16,106853.29
2021-11-17,106407.6
2021-11-18,107123.65
2021-11-19,107531.52
2021-11-22,106464.9
2021-11-23,105863.01
2021-11-24,106592.69
2021-11-26,105012.43
2021-11-29,106871.74
2021-11-30,105099.0
2021-12-01,103214.24
2021-12-02,103939.15
2021-12-03,102803.0
2021-12-06,102902.02
2021-12-07,105707.08
2021-12-08,106019.23
2021-12-09,104814.91
2021-12-10,105540.41
2021-12-13,103997.49
2021-12-14,102917.07
2021-12-15,105071.45
2021-12-16,102521.05
2021-12-17,102200.48
2021-12-20,101216.77
2021-12-21,103586.2
2021-12-22,104439.72
2021-12-23,105193.98
2021-12-27,106774.88
2021-12-28,106087.95
2021-12-29,105930.02
2021-12-30,105747.01
2021-12-31,105315.51
2022-01-03,105509.97
2022-01-04,104511.52
2022-01-05,101865.85
2022-01-06,101964.92
2022-01-07,100548.21
2022-01-10,100559.86
2022-01-11,101815.98
2022-01-12,102108.06
2022-01-13,99917.61
2022-01-14,100435.77
2022-01-18,98188.53
2022-01-19,96967.66
2022-01-20,95883.13
2022-01-21,95592.62
2022-01-24,95900.33
2022-01-25,95383.6
2022-01-26,95379.78
2022-01-27,95393.63
2022-01-28,95737.87
2022-01-31,96198.09
2022-02-01,96169.97
2022-02-02,96900.0
2022-02-03,94252.11
2022-02-04,94333.32
2022-02-07,94283.03
2022-02-08,94485.98
2022-02-09,94649.63
2022-02-10,93228.77
2022-02-11,92955.28
2022-02-14,92863.24
2022-02-15,93041.65
2022-02-16,92818.25
2022-02-17,92620.53
2022-02-18,92608.03
2022-02-22,92512.38
2022-02-23,92101.69
2022-02-24,92105.12
2022-02-25,92036.05
2022-02-28,91887.4
2022-03-01,91566.29
2022-03-02,92484.62
2022-03-03,92293.71
2022-03-04,91537.14
2022-03-07,90543.16
2022-03-08,90433.25
2022-03-09,90642.37
2022-03-10,90494.5
2022-03-11,90465.68
2022-03-14,90144.67
2022-03-15,90462.22
2022-03-16,90645.45
2022-03-17,90790.33
2022-03-18,91048.37
2022-03-21,91058.4
2022-03-22,91087.03
2022-03-23,91039.66
2022-03-24,91164.55
2022-03-25,91238.49
2022-03-28,91266.81
2022-03-29,91328.74
2022-03-30,90639.55
2022-03-31,90538.62
2022-04-01,90463.95
2022-04-04,90447.49
2022-04-05,89332.33
2022-04-06,89284.55
2022-04-07,89248.37
2022-04-08,89110.32
2022-04-11,88683.13
2022-04-12,88528.19
2022-04-13,88820.61
2022-04-14,88568.72
2022-04-18,88699.39
2022-04-19,89033.01
2022-04-20,89001.98
2022-04-21,88832.93
2022-04-22,88698.15
2022-04-25,88969.14
2022-04-26,88376.49
2022-04-27,88242.72
2022-04-28,88599.71
2022-04-29,88066.97
2022-05-02,88234.94
2022-05-03,88268.69
2022-05-04,88509.29
2022-05-05,87934.84
2022-05-06,87682.05
2022-05-09,86886.46
2022-05-10,86912.67
2022-05-11,86882.63
2022-05-12,86883.52
2022-05-13,87057.89
2022-05-16,87058.88
2022-05-17,87168.3
2022-05-18,86851.12
2022-05-19,86772.0
2022-05-20,86741.56
2022-05-23,86795.65
2022-05-24,86734.69
2022-05-25,86730.15
2022-05-26,86756.65
2022-05-27,86884.03
2022-05-31,86854.61
2022-06-01,86848.4
2022-06-02,86848.4
2022-06-03,86848.4
2022-06-06,86848.4
2022-06-07,86847.31
2022-06-08,86789.08
2022-06-09,86822.88
2022-06-10,86633.66
2022-06-13,86068.94
2022-06-14,85908.51
2022-06-15,86210.54
2022-06-16,85512.86
2022-06-17,85572.61
2022-06-21,85746.22
2022-06-22,85772.35
2022-06-23,85778.11
2022-06-24,85908.49
2022-06-27,85975.79
2022-06-28,85907.7
2022-06-29,85856.06
2022-06-30,85864.76
2022-07-01,85866.14
2022-07-05,85802.68
2022-07-06,85809.68
2022-07-07,85859.54
2022-07-08,85853.02
2022-07-11,85862.63
2022-07-12,85828.45
2022-07-13,85798.06
2022-07-14,85762.85
2022-07-15,85778.86
2022-07-18,85761.46
2022-07-19,85473.14
2022-07-20,85299.03
2022-07-21,85423.92
2022-07-22,84999.65
2022-07-25,85056.48
2022-07-26,84917.69
2022-07-27,84981.51
2022-07-28,84871.76
2022-07-29,84877.41
