date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2021-07-22,BUY,QQQ,141.0,353.2096,49802.55,0.3621,benchmark core target=50%,50172.55,99975.1
2021-07-22,BUY,IRM,84.0,35.8642,3012.59,0.6065,score=+0.61 sector=data_centers,47158.45,99973.59
2021-07-22,BUY,DBX,91.0,30.57,2781.87,0.5623,score=+0.56 sector=software,44375.19,99972.2
2021-07-22,BUY,NVDA,141.0,19.5265,2753.23,0.5538,score=+0.55 sector=mega_cap_tech,41620.58,99970.82
2021-07-22,BUY,EQIX,3.0,743.9612,2231.88,0.5463,score=+0.55 sector=cloud_infra,39387.58,99969.71
2021-07-22,BUY,RMBS,114.0,22.95,2616.3,0.5254,score=+0.53 sector=semiconductors,36769.97,99968.4
2021-07-22,BUY,ANET,107.0,23.3356,2496.91,0.5036,score=+0.50 sector=ai_infra,34271.81,99967.15
2021-07-23,BUY,BOX,136.0,24.06,3272.16,0.6503,score=+0.65 sector=cloud_infra,30998.01,100665.46
2021-07-23,BUY,VRT,102.0,27.608,2816.02,0.5642,score=+0.56 sector=ai_infra,28180.59,100664.05
2021-07-26,BUY,LI,84.0,30.77,2584.68,0.5154,score=+0.52 sector=ev_mobility,25594.62,100514.59
2021-07-27,STOP,LI,84.0,26.48,2224.32,,stop pl=-13.94% vs -12.00%,27817.82,99621.55
2021-07-28,BUY,ADBE,4.0,620.92,2483.68,0.5308,score=+0.53 sector=software,25332.9,99938.6
2021-07-28,BUY,PYPL,8.0,299.3872,2395.1,0.5291,score=+0.53 sector=fintech,22936.61,99937.4
2021-07-28,BUY,SHOP,16.0,153.8,2460.8,0.5232,score=+0.52 sector=software,20474.58,99936.17
2021-07-30,STOP,PYPL,8.0,273.1642,2185.31,,stop pl=-8.76% vs -6.72%,22658.8,99634.56
2021-07-30,BUY,AMT,10.0,241.8857,2418.86,0.5196,score=+0.52 sector=data_centers,20238.73,99633.35
2021-08-12,STOP,RMBS,114.0,24.0,2736.0,,trailing lock hw=8.98% now=4.58%,22973.36,100563.6
2021-08-12,BUY,VEEV,8.0,320.5,2564.0,0.6851,score=+0.69 sector=software,20408.08,100562.32
2021-08-16,STOP,BOX,136.0,25.32,3443.52,,trailing lock hw=9.64% now=5.24%,23849.88,100483.68
2021-08-16,BUY,RMBS,116.0,23.92,2774.72,0.5564,score=+0.56 sector=semiconductors,21073.77,100482.29
2021-08-16,BUY,ONTO,13.0,71.54,930.02,0.5306,score=+0.53 sector=semiconductors,20143.29,100481.82
2021-09-08,STOP,VRT,102.0,25.8663,2638.37,,stop pl=-6.31% vs -6.09%,22780.34,102890.52
2021-09-08,STOP,ONTO,13.0,76.1,989.3,,trailing lock hw=10.83% now=6.37%,23769.14,102890.02
2021-09-08,BUY,FTNT,51.0,61.84,3153.84,0.6427,score=+0.64 sector=cybersecurity,20613.72,102888.45
2021-09-10,STOP,IRM,84.0,38.6952,3250.39,,trailing lock hw=13.47% now=7.89%,23862.49,101923.78
2021-09-10,STOP,ANET,107.0,21.9325,2346.78,,stop pl=-6.01% vs -4.76%,26208.1,101922.6
2021-09-10,BUY,RMBS,31.0,23.6,731.6,0.6841,score=+0.68 sector=semiconductors,25476.13,101922.24
2021-09-10,BUY,MSFT,10.0,284.3352,2843.35,0.5928,score=+0.59 sector=mega_cap_tech,22631.36,101920.82
2021-09-10,BUY,DIOD,24.0,93.63,2247.12,0.5675,score=+0.57 sector=semiconductors,20383.11,101919.69
2021-09-13,STOP,VEEV,8.0,298.98,2391.84,,stop pl=-6.71% vs -6.25%,22773.76,101652.36
2021-09-13,BUY,ISRG,7.0,342.6067,2398.25,0.7611,score=+0.76 sector=robotics,20374.31,101651.16
2021-09-17,STOP,NVDA,141.0,21.8284,3077.8,,trailing lock hw=16.60% now=11.79%,23450.57,101343.81
2021-09-17,BUY,CSCO,64.0,49.4329,3163.71,0.6773,score=+0.68 sector=other,20285.28,101342.23
2021-09-28,STOP,ADBE,4.0,578.77,2315.08,,stop pl=-6.79% vs -6.10%,22599.2,97885.41
2021-09-28,STOP,SHOP,16.0,136.931,2190.9,,stop pl=-10.97% vs -8.60%,24789.0,97884.31
2021-09-28,BUY,ASML,5.0,745.3083,3726.54,0.872,score=+0.87 sector=ai_infra,21060.6,97882.45
2021-09-28,BUY,ROK,5.0,273.7781,1368.89,0.7577,score=+0.76 sector=robotics,19691.02,97881.76
2021-09-29,STOP,RMBS,147.0,22.29,3276.63,,stop pl=-6.55% vs -5.49%,22966.02,97579.13
2021-09-29,BUY,STM,82.0,41.618,3412.68,0.7962,score=+0.80 sector=semiconductors,19551.63,97577.43
2021-09-30,STOP,AMT,10.0,228.0703,2280.7,,stop pl=-5.71% vs -5.19%,21831.2,97246.83
2021-09-30,STOP,MSFT,10.0,271.0757,2710.76,,stop pl=-4.66% vs -4.52%,24540.6,97245.47
2021-09-30,BUY,AAPL,30.0,138.134,4144.02,0.8703,score=+0.87 sector=mega_cap_tech,20394.5,97243.4
2021-09-30,BUY,MPWR,2.0,467.9353,935.87,0.8561,score=+0.86 sector=semiconductors,19458.17,97242.93
2021-10-04,STOP,DBX,91.0,27.84,2533.44,,stop pl=-8.93% vs -7.03%,21990.34,95818.61
2021-10-04,STOP,ASML,5.0,681.0823,3405.41,,stop pl=-8.62% vs -8.28%,25394.05,95816.91
2021-10-04,BUY,CSCO,31.0,47.4733,1471.67,0.9481,score=+0.95 sector=other,23921.64,95816.17
2021-10-04,BUY,MPWR,6.0,447.9794,2687.88,0.8147,score=+0.81 sector=semiconductors,21232.42,95814.83
2021-10-04,BUY,VGT,43.0,48.1155,2068.97,0.6569,score=+0.66 sector=etf_tech,19162.42,95813.8
2021-10-05,STOP,EQIX,3.0,691.3106,2073.93,,stop pl=-7.08% vs -6.87%,21235.31,96818.6
2021-10-05,BUY,AVGO,42.0,44.5157,1869.66,0.9494,score=+0.95 sector=ai_infra,19364.72,96817.67
2021-10-06,SELL,AVGO,42.0,44.8238,1882.6,-0.35,score=-0.35 <= exit_thr=+0.00,21246.38,97105.55
2021-10-06,BUY,SOXX,12.0,142.2475,1706.97,0.8525,score=+0.85 sector=etf_tech,19538.56,97104.7
2021-10-07,SELL,AAPL,30.0,139.8815,4196.44,-0.1747,score=-0.17 <= exit_thr=+0.00,23732.9,97917.79
2021-10-07,BUY,FFIV,20.0,202.48,4049.6,0.8671,score=+0.87 sector=cloud_infra,19681.28,97915.77
2021-10-08,SELL,CSCO,95.0,48.2174,4580.65,-0.3242,score=-0.32 <= exit_thr=+0.00,24259.64,97399.73
2021-10-08,SELL,ROK,5.0,278.0131,1390.07,-0.2841,score=-0.28 <= exit_thr=+0.00,25649.01,97399.03
2021-10-08,BUY,STM,12.0,39.7551,477.06,0.7737,score=+0.77 sector=semiconductors,25171.71,97398.79
2021-10-08,BUY,KLAC,106.0,31.0927,3295.83,0.6797,score=+0.68 sector=semiconductors,21874.24,97397.15
2021-10-08,BUY,DDOG,17.0,140.32,2385.44,0.5103,score=+0.51 sector=cloud_infra,19487.61,97395.95
2021-10-11,SELL,QQQ,141.0,348.1993,49096.11,-0.2167,score=-0.22 <= exit_thr=+0.00,68559.16,96849.94
2021-10-11,SELL,SOXX,12.0,141.4833,1697.8,-0.1543,score=-0.15 <= exit_thr=+0.00,70256.12,96849.09
2021-10-11,BUY,QQQ,139.0,348.1993,48399.71,-0.2167,benchmark core target=50%,21832.21,96824.89
2021-10-11,BUY,SMCI,672.0,3.699,2485.73,0.6327,score=+0.63 sector=ai_infra,19345.24,96823.65
2021-10-12,STOP,DIOD,24.0,85.49,2051.76,,stop pl=-8.69% vs -7.44%,21395.97,96453.05
2021-10-12,SELL,VGT,43.0,49.0487,2109.1,-0.1633,score=-0.16 <= exit_thr=+0.00,23504.01,96451.99
2021-10-12,SELL,QQQ,139.0,346.9849,48230.9,-0.1293,score=-0.13 <= exit_thr=+0.00,71710.79,96427.88
2021-10-12,BUY,QQQ,138.0,346.9849,47883.91,-0.1293,benchmark core target=50%,23802.94,96403.94
2021-10-12,BUY,ISRG,2.0,324.45,648.9,0.655,score=+0.65 sector=robotics,23153.71,96403.61
2021-10-12,BUY,LSCC,46.0,62.93,2894.78,0.608,score=+0.61 sector=semiconductors,20257.49,96402.17
2021-10-12,BUY,SNPS,3.0,292.04,876.12,0.5919,score=+0.59 sector=software,19380.93,96401.73
2021-10-13,SELL,QQQ,138.0,349.7635,48267.36,-0.1105,score=-0.11 <= exit_thr=+0.00,67624.16,97130.2
2021-10-13,BUY,QQQ,137.0,349.7635,47917.6,-0.1105,benchmark core target=50%,19682.6,97106.24
2021-10-14,SELL,SNPS,3.0,304.83,914.49,-0.2151,score=-0.22 <= exit_thr=+0.00,20596.63,98590.2
2021-10-14,SELL,QQQ,137.0,356.2049,48800.07,-0.2157,score=-0.22 <= exit_thr=+0.00,69372.31,98565.8
2021-10-14,BUY,QQQ,138.0,356.2049,49156.28,-0.2157,benchmark core target=50%,20191.45,98541.22
2021-10-14,BUY,FLEX,35.0,14.3029,500.6,0.5701,score=+0.57 sector=other,19690.6,98540.97
2021-10-15,SELL,FFIV,20.0,204.33,4086.6,0.0,score=+0.00 <= exit_thr=+0.00,23775.15,98870.76
2021-10-15,SELL,KLAC,106.0,31.3835,3326.66,-0.2395,score=-0.24 <= exit_thr=+0.00,27100.14,98869.1
2021-10-15,SELL,QQQ,138.0,358.4493,49466.0,-0.4264,score=-0.43 <= exit_thr=+0.00,76541.41,98844.36
2021-10-15,SELL,FLEX,35.0,14.3482,502.19,-0.0336,score=-0.03 <= exit_thr=+0.00,77043.35,98844.11
