date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2021-07-22,BUY,QQQ,141.0,353.2096,49802.55,0.3623,benchmark core target=50%,50172.55,99975.1
2021-07-22,BUY,BOX,159.0,23.3,3704.7,0.745,score=+0.75 sector=cloud_infra,46465.99,99973.25
2021-07-22,BUY,IRM,79.0,35.8642,2833.27,0.5674,score=+0.57 sector=data_centers,43631.31,99971.83
2021-07-22,BUY,DBX,91.0,30.57,2781.87,0.5624,score=+0.56 sector=software,40848.04,99970.44
2021-07-22,BUY,NVDA,134.0,19.5265,2616.55,0.5265,score=+0.53 sector=mega_cap_tech,38230.19,99969.13
2021-07-22,BUY,EQIX,3.0,743.9612,2231.88,0.5215,score=+0.52 sector=cloud_infra,35997.19,99968.01
2021-07-22,BUY,ANET,107.0,23.3356,2496.91,0.5037,score=+0.50 sector=ai_infra,33499.03,99966.77
2021-07-23,BUY,NTAP,49.0,69.3613,3398.7,0.6869,score=+0.69 sector=cloud_infra,30098.63,100768.52
2021-07-23,BUY,VRT,98.0,27.608,2705.58,0.5424,score=+0.54 sector=ai_infra,27391.69,100767.16
2021-07-23,BUY,CCI,17.0,152.113,2585.92,0.5382,score=+0.54 sector=data_centers,24804.48,100765.87
2021-07-28,BUY,QRVO,16.0,190.34,3045.44,0.6101,score=+0.61 sector=semiconductors,21757.51,100390.99
2021-07-28,BUY,SE,6.0,275.54,1653.24,0.5903,score=+0.59 sector=other,20103.45,100390.17
2021-08-09,SELL,NTAP,49.0,73.4041,3596.8,-0.0116,score=-0.01 <= exit_thr=+0.00,23698.45,101694.27
2021-08-09,BUY,VRT,21.0,27.3891,575.17,0.6436,score=+0.64 sector=ai_infra,23122.99,101693.98
2021-08-10,BUY,ROP,5.0,464.3945,2321.97,0.5251,score=+0.53 sector=other,20799.86,101141.7
2021-08-11,BUY,AXP,3.0,160.606,481.82,0.557,score=+0.56 sector=fintech,20317.8,101109.13
2021-08-16,STOP,BOX,159.0,25.32,4025.88,,trailing lock hw=13.22% now=8.67%,24341.67,101365.0
2021-08-16,STOP,SE,6.0,290.49,1742.94,,trailing lock hw=11.47% now=5.43%,26083.73,101364.13
2021-08-16,BUY,V,15.0,227.0315,3405.47,0.7097,score=+0.71 sector=fintech,22676.56,101362.43
2021-08-16,BUY,SMCI,649.0,3.706,2405.19,0.6194,score=+0.62 sector=ai_infra,20270.16,101361.23
2021-08-19,STOP,AXP,3.0,149.6524,448.96,,stop pl=-6.82% vs -5.71%,20718.89,100209.2
2021-08-19,BUY,QLD,18.0,37.2716,670.89,0.7,score=+0.70 sector=etf_tech,20047.67,100208.86
2021-08-23,SELL,SMCI,649.0,3.593,2331.86,-0.0316,score=-0.03 <= exit_thr=+0.00,22378.36,102160.92
2021-08-23,BUY,AXP,12.0,150.9887,1811.86,0.7741,score=+0.77 sector=fintech,20565.59,102160.01
2021-08-24,SELL,QRVO,16.0,184.8,2956.8,-0.126,score=-0.13 <= exit_thr=+0.00,23520.91,102272.3
2021-08-24,BUY,AXP,7.0,151.6944,1061.86,0.5918,score=+0.59 sector=fintech,22458.52,102271.77
2021-08-24,BUY,BOX,77.0,25.87,1991.99,0.5831,score=+0.58 sector=cloud_infra,20465.53,102270.78
2021-08-30,SELL,V,15.0,223.0476,3345.71,-0.2424,score=-0.24 <= exit_thr=+0.00,23809.58,103462.03
2021-08-30,BUY,MRVL,45.0,60.8201,2736.9,0.5406,score=+0.54 sector=semiconductors,21071.3,103460.66
2021-09-08,STOP,VRT,119.0,25.8663,3078.09,,stop pl=-6.18% vs -6.09%,24147.86,103242.86
2021-09-08,BUY,ANET,48.0,22.4725,1078.68,0.741,score=+0.74 sector=ai_infra,23068.64,103242.32
2021-09-08,BUY,FTNT,39.0,61.84,2411.76,0.6168,score=+0.62 sector=cybersecurity,20655.67,103241.12
2021-09-09,STOP,BOX,77.0,23.6,1817.2,,stop pl=-8.77% vs -8.77%,22471.97,102790.73
2021-09-09,BUY,AMD,18.0,106.15,1910.7,0.5209,score=+0.52 sector=ai_infra,20560.31,102789.77
2021-09-10,STOP,IRM,79.0,38.6952,3056.92,,trailing lock hw=13.47% now=7.89%,23615.7,102107.62
2021-09-10,STOP,ANET,155.0,21.9325,3399.54,,stop pl=-4.92% vs -4.76%,27013.54,102105.92
2021-09-10,SELL,AXP,19.0,149.3606,2837.85,-0.0658,score=-0.07 <= exit_thr=+0.00,29849.97,102104.5
2021-09-10,BUY,FTNT,14.0,62.098,869.37,0.646,score=+0.65 sector=cybersecurity,28980.16,102104.07
2021-09-10,BUY,SE,8.0,325.5,2604.0,0.5527,score=+0.55 sector=other,26374.86,102102.76
2021-09-10,BUY,MSFT,9.0,284.3352,2559.02,0.5418,score=+0.54 sector=mega_cap_tech,23814.57,102101.48
