date,equity,cash,positions
2021-07-07,99996.42,92836.4,2
2021-07-08,100009.9,83820.67,5
2021-07-09,100252.72,74807.15,8
2021-07-12,100310.8,74807.15,8
2021-07-13,100154.33,67560.31,10
2021-07-14,99959.26,56368.95,13
2021-07-15,99439.93,47780.04,16
2021-07-16,99023.88,35633.48,20
2021-07-19,98849.29,34903.26,20
2021-07-20,100162.98,34903.26,20
2021-07-21,101266.26,40853.4,19
2021-07-22,101230.81,40791.43,19
2021-07-23,101776.72,41801.67,19
2021-07-26,101773.03,44526.55,18
2021-07-27,101226.64,47058.88,17
2021-07-28,101608.71,47596.44,17
2021-07-29,102226.58,50683.06,16
2021-07-30,102038.71,53502.09,15
2021-08-02,102076.19,37839.63,20
2021-08-03,102317.68,36878.47,20
2021-08-04,102591.49,36878.47,20
2021-08-05,103292.29,36873.11,20
2021-08-06,103079.77,36425.38,20
2021-08-09,103144.17,36403.68,20
2021-08-10,102753.24,36403.68,20
2021-08-11,102751.76,35082.11,20
2021-08-12,103217.88,34538.26,20
2021-08-13,103634.4,34538.26,20
2021-08-16,102844.15,33323.72,20
2021-08-17,102381.26,33323.72,20
2021-08-18,102046.18,30164.86,20
2021-08-19,101806.37,30164.86,20
2021-08-20,102566.83,30164.86,20
2021-08-23,103574.83,32679.22,19
2021-08-24,103787.55,38872.93,18
2021-08-25,104011.27,36504.75,19
2021-08-26,103919.41,39491.26,18
2021-08-27,104827.42,31636.97,20
2021-08-30,105559.89,39507.92,18
2021-08-31,105402.91,43882.2,17
2021-09-01,105472.64,34210.98,20
2021-09-02,105984.66,34210.98,20
2021-09-03,106606.39,34210.98,20
2021-09-07,105678.24,34210.98,20
2021-09-08,104819.86,35816.58,20
2021-09-09,104312.75,33737.25,20
2021-09-10,103636.48,34507.22,20
2021-09-13,103576.78,32317.47,20
2021-09-14,103265.96,32031.63,20
2021-09-15,103751.92,32031.63,20
2021-09-16,104141.1,32504.69,20
2021-09-17,103308.36,35466.37,19
2021-09-20,102010.61,31651.47,20
2021-09-21,102119.18,30615.12,20
2021-09-22,103237.94,29642.34,20
2021-09-23,104115.62,30563.91,20
2021-09-24,103982.68,29597.4,20
2021-09-27,102835.31,30715.9,20
2021-09-28,100390.52,30394.05,20
2021-09-29,99796.06,30049.55,20
2021-09-30,99481.23,28550.7,20
2021-10-01,100068.65,28550.7,20
2021-10-04,98004.65,29763.2,20
2021-10-05,99197.74,27926.88,20
2021-10-06,99817.02,28928.32,20
2021-10-07,100788.61,30553.21,20
2021-10-08,100007.99,56982.55,13
2021-10-11,99835.47,58823.64,12
2021-10-12,99897.85,56486.4,13
2021-10-13,100489.56,49882.16,15
2021-10-14,101664.77,53067.89,14
2021-10-15,101889.8,66410.27,10
2021-10-18,102538.4,67004.64,10
2021-10-19,102590.18,68314.91,10
2021-10-20,102728.8,72886.91,9
2021-10-21,103187.13,75689.5,8
2021-10-22,103009.09,81326.32,6
2021-10-25,103122.39,78121.74,7
2021-10-26,102976.59,79484.31,7
2021-10-27,102779.0,70481.16,10
2021-10-28,103568.14,51363.93,16
2021-10-29,103948.3,65415.27,12
2021-11-01,104599.47,59296.18,14
2021-11-02,105185.23,59296.18,14
2021-11-03,105315.4,53436.81,16
