date,equity,cash,positions
2021-07-07,99993.67,87336.77,4
2021-07-08,99952.41,75733.87,8
2021-07-09,100261.95,73008.32,9
2021-07-12,100256.77,73008.32,9
2021-07-13,100088.57,65910.33,11
2021-07-14,99808.06,51252.08,15
2021-07-15,99311.57,45641.19,17
2021-07-16,98930.65,35906.82,20
2021-07-19,98806.47,33563.71,20
2021-07-20,100103.14,33563.71,20
2021-07-21,101005.22,36908.88,20
2021-07-22,101013.19,36733.46,20
2021-07-23,101544.71,37743.7,20
2021-07-26,101371.95,49716.45,16
2021-07-27,100857.22,47657.5,16
2021-07-28,101207.31,46448.38,17
2021-07-29,101858.04,46811.14,17
2021-07-30,101701.53,49633.15,16
2021-08-02,101744.56,35960.34,20
2021-08-03,101993.4,35960.34,20
2021-08-04,102237.25,35283.56,20
2021-08-05,102831.82,35283.56,20
2021-08-06,102694.1,35033.23,20
2021-08-09,102719.39,34817.18,20
2021-08-10,102255.57,34817.18,20
2021-08-11,102175.63,33284.8,20
2021-08-12,102593.44,34682.19,20
2021-08-13,102936.26,34682.19,20
2021-08-16,102347.55,33737.94,20
2021-08-17,101830.72,33737.94,20
2021-08-18,101444.25,29492.12,20
2021-08-19,101240.7,29492.12,20
2021-08-20,101908.23,28202.47,20
2021-08-23,102881.03,28202.47,20
2021-08-24,103165.36,38592.53,18
2021-08-25,103350.9,36802.1,19
2021-08-26,103233.81,40037.48,18
2021-08-27,104059.74,31435.61,20
2021-08-30,104213.7,35894.33,19
2021-08-31,104163.42,40947.38,18
2021-09-01,104304.72,38425.26,19
2021-09-02,104738.12,34121.09,20
2021-09-03,105377.59,34121.09,20
2021-09-07,104430.32,34121.09,20
2021-09-08,103588.09,35593.76,20
2021-09-09,103224.77,35336.87,20
2021-09-10,102571.39,34770.53,20
2021-09-13,102386.34,32448.42,20
2021-09-14,102079.09,30436.83,20
2021-09-15,102692.1,30436.83,20
2021-09-16,103102.57,30590.13,20
2021-09-17,102240.41,30145.91,20
2021-09-20,100913.69,30968.74,20
2021-09-21,100930.71,30968.74,20
2021-09-22,101983.57,30968.74,20
2021-09-23,102875.65,32183.8,20
2021-09-24,102946.17,32011.77,20
2021-09-27,101983.9,32512.22,20
2021-09-28,99719.22,32228.9,20
2021-09-29,99281.29,31301.35,20
2021-09-30,98913.3,28239.0,20
2021-10-01,99469.29,28239.0,20
2021-10-04,97595.96,27557.68,20
2021-10-05,98622.21,26563.7,20
2021-10-06,98775.22,27901.07,20
2021-10-07,99794.78,28508.38,20
2021-10-08,99130.37,42411.82,16
2021-10-11,98910.73,41566.39,17
2021-10-12,98985.53,46032.25,16
2021-10-13,99932.32,42735.58,17
2021-10-14,101119.95,45630.94,16
2021-10-15,101393.02,59725.56,12
2021-10-18,102085.15,62667.07,11
2021-10-19,102222.05,66814.35,10
2021-10-20,102254.59,66814.35,10
2021-10-21,102752.73,74730.84,8
2021-10-22,102678.74,71703.53,9
2021-10-25,102686.64,71089.89,9
2021-10-26,102528.06,75539.96,8
2021-10-27,102301.63,66868.34,11
2021-10-28,103155.18,51138.34,16
2021-10-29,103513.0,61661.39,13
2021-11-01,104344.43,55542.3,15
2021-11-02,104860.63,52528.31,16
2021-11-03,105178.29,46554.29,18
2021-11-04,105931.97,43897.03,19
2021-11-05,105289.04,47417.02,18
2021-11-08,105664.34,41059.9,20
2021-11-09,105213.56,47364.74,18
2021-11-10,104794.47,52154.98,17
2021-11-11,105761.22,41558.56,20
2021-11-12,106269.72,42795.21,20
2021-11-15,105848.73,43451.4,20
2021-11-16,106613.08,47672.98,19
2021-11-17,105831.12,46801.59,19
2021-11-18,105735.0,44995.2,19
2021-11-19,105358.8,40567.87,20
2021-11-22,104077.37,38533.4,20
2021-11-23,103517.42,38059.54,20
2021-11-24,104348.51,36381.61,20
2021-11-26,102932.67,36208.85,20
2021-11-29,104471.26,36208.85,20
2021-11-30,102973.98,35757.57,20
2021-12-01,101370.73,33027.34,20
2021-12-02,102002.67,32362.53,20
2021-12-03,100634.46,32946.98,20
2021-12-06,100242.2,29156.6,20
2021-12-07,103275.21,31233.04,20
2021-12-08,103702.9,42631.42,17
2021-12-09,102658.89,51949.02,14
2021-12-10,103432.24,49357.72,15
2021-12-13,102234.06,52148.59,14
2021-12-14,101415.09,42379.79,17
2021-12-15,103360.26,33504.43,20
2021-12-16,101047.9,52252.01,15
2021-12-17,100724.97,53028.04,15
2021-12-20,100206.76,50222.21,16
2021-12-21,101864.94,45457.45,17
2021-12-22,102456.49,43098.11,18
2021-12-23,102836.51,43194.29,18
2021-12-27,104195.79,49693.14,16
2021-12-28,103887.21,56265.51,14
2021-12-29,103768.84,59198.27,13
2021-12-30,103411.32,59198.27,13
2021-12-31,103354.31,63329.6,12
2022-01-03,103476.2,68369.14,11
2022-01-04,103186.42,58159.14,14
2022-01-05,101548.93,61689.84,13
2022-01-06,101742.6,38267.88,20
2022-01-07,100841.93,38267.88,20
2022-01-10,100938.67,38267.88,20
2022-01-11,101703.58,38267.88,20
2022-01-12,101854.83,39977.42,20
2022-01-13,100462.03,39465.73,20
2022-01-14,101020.63,39465.73,20
2022-01-18,98963.05,37282.28,20
2022-01-19,97934.6,35877.21,20
2022-01-20,96920.07,46878.52,16
2022-01-21,95990.59,59027.54,12
2022-01-24,96398.24,62163.69,11
2022-01-25,95432.08,76375.85,7
2022-01-26,94995.16,76073.01,7
2022-01-27,95141.79,76202.72,7
2022-01-28,95633.81,76202.72,7
2022-01-31,95970.8,76899.77,6
2022-02-01,96156.44,77035.8,6
2022-02-02,96229.19,81033.42,5
2022-02-03,95819.9,86843.53,3
2022-02-04,95849.75,89337.95,2
2022-02-07,95853.24,83347.15,4
2022-02-08,95955.11,83347.15,4
2022-02-09,96062.64,83347.15,4
2022-02-10,95864.84,83347.15,4
2022-02-11,95716.44,86647.07,3
2022-02-14,95628.86,89043.39,2
2022-02-15,95638.16,85604.37,3
2022-02-16,95404.63,88357.91,2
2022-02-17,95363.36,91958.66,1
2022-02-18,95359.8,91647.13,1
2022-02-22,95344.27,86271.83,3
2022-02-23,95124.39,77941.03,6
2022-02-24,95059.35,76070.86,7
2022-02-25,94998.27,76070.86,7
2022-02-28,94850.68,78480.85,6
2022-03-01,94530.34,78480.85,6
2022-03-02,95329.28,76567.4,6
2022-03-03,95161.69,80145.44,5
2022-03-04,94775.0,83923.99,4
2022-03-07,94235.19,82449.91,4
2022-03-08,94470.24,87422.85,2
2022-03-09,94836.5,87422.85,2
2022-03-10,94702.55,91751.13,1
2022-03-11,94736.82,91751.13,1
2022-03-14,94695.33,91751.13,1
2022-03-15,94733.21,91751.13,1
2022-03-16,94774.71,91751.13,1
2022-03-17,94767.49,91751.13,1
2022-03-18,94825.22,91751.13,1
2022-03-21,94827.03,91751.13,1
2022-03-22,94841.46,91751.13,1
2022-03-23,94812.59,91751.13,1
2022-03-24,94827.03,91751.13,1
2022-03-25,94915.42,91751.13,1
2022-03-28,94886.56,91751.13,1
2022-03-29,94919.03,91751.13,1
2022-03-30,94868.52,91751.13,1
2022-03-31,94765.69,91751.13,1
2022-04-01,94688.55,89015.74,2
2022-04-04,94679.62,91735.43,1
2022-04-05,94585.81,91735.43,1
2022-04-06,94542.94,88974.66,2
2022-04-07,94600.79,85354.24,3
2022-04-08,94570.25,85354.24,3
2022-04-11,94390.68,79992.02,5
2022-04-12,94303.78,75488.61,7
2022-04-13,94553.57,75488.61,7
2022-04-14,94275.03,78241.65,6
2022-04-18,94349.55,75665.51,7
2022-04-19,94742.26,76404.68,7
2022-04-20,94611.64,83220.33,4
2022-04-21,94304.7,83220.33,4
2022-04-22,94199.61,82772.64,4
2022-04-25,94520.65,75635.79,7
2022-04-26,93942.31,75635.79,7
2022-04-27,93828.43,75374.74,7
2022-04-28,94271.27,75497.74,7
2022-04-29,93699.72,76467.94,6
2022-05-02,93614.35,76467.94,6
2022-05-03,93699.88,75147.85,7
2022-05-04,93587.84,74874.97,7
2022-05-05,93245.79,79314.65,5
2022-05-06,93027.0,76550.47,6
2022-05-09,92388.69,81946.86,4
2022-05-10,92376.71,81831.42,4
2022-05-11,92337.77,83978.28,3
2022-05-12,92420.36,82972.06,3
2022-05-13,92510.0,75892.55,5
2022-05-16,92482.04,78576.99,4
2022-05-17,92542.87,78576.99,4
2022-05-18,92280.39,78576.99,4
2022-05-19,92192.04,78401.58,4
2022-05-20,92110.56,78401.58,4
2022-05-23,92098.92,78401.58,4
2022-05-24,92009.18,78401.58,4
2022-05-25,92062.71,82697.23,3
2022-05-26,92200.08,85362.42,2
2022-05-27,92200.08,85362.42,2
2022-05-31,92215.98,85362.42,2
2022-06-01,92210.04,92210.04,0
2022-06-02,92210.04,92210.04,0
2022-06-03,92210.04,92210.04,0
2022-06-06,92210.04,92210.04,0
2022-06-07,92210.04,92210.04,0
2022-06-08,92210.04,92210.04,0
2022-06-09,92210.04,92210.04,0
2022-06-10,92208.64,89403.59,1
2022-06-13,92015.19,83582.21,3
2022-06-14,91866.64,73507.06,7
2022-06-15,92128.85,74111.3,7
2022-06-16,91388.03,81997.01,4
2022-06-17,91459.28,83637.25,3
2022-06-21,91680.41,86355.87,2
2022-06-22,91717.87,88995.73,1
2022-06-23,91744.88,88995.73,1
2022-06-24,91815.49,86442.26,2
2022-06-27,91892.35,86442.26,2
2022-06-28,91814.79,86442.26,2
2022-06-29,91756.71,86434.98,2
2022-06-30,91766.24,86434.98,2
2022-07-01,91767.35,86434.98,2
2022-07-05,91696.43,83607.15,3
2022-07-06,91615.63,86135.88,2
2022-07-07,91980.59,86135.88,2
2022-07-08,91862.6,86135.88,2
2022-07-11,91873.13,86135.88,2
2022-07-12,91630.57,88866.72,1
2022-07-13,91590.85,88866.72,1
2022-07-14,91628.18,88866.72,1
2022-07-15,91645.26,88866.72,1
2022-07-18,91609.72,88866.72,1
2022-07-19,91465.75,88866.72,1
2022-07-20,91431.04,86969.71,1
2022-07-21,91360.93,86969.71,1
2022-07-22,91398.92,86969.71,1
2022-07-25,91408.94,86969.71,1
2022-07-26,91393.05,86969.71,1
2022-07-27,91428.97,86969.71,1
2022-07-28,91432.42,86969.71,1
2022-07-29,91484.38,91484.38,0
2022-08-01,91484.38,91484.38,0
2022-08-02,91484.38,91484.38,0
2022-08-03,91484.38,91484.38,0
2022-08-04,91484.38,91484.38,0
2022-08-05,91484.38,91484.38,0
2022-08-08,91484.38,91484.38,0
2022-08-09,91483.12,88951.23,1
2022-08-10,91517.14,83347.79,3
2022-08-11,91506.86,83347.79,3
2022-08-12,91752.48,80758.23,4
2022-08-15,91707.68,83345.2,3
2022-08-16,91705.17,80784.93,4
2022-08-17,91406.9,80784.93,4
2022-08-18,91494.33,78251.27,5
2022-08-19,91160.02,78251.27,5
2022-08-22,90897.92,80886.5,4
2022-08-23,90907.24,72758.17,7
2022-08-24,90919.47,72758.17,7
2022-08-25,91278.87,72758.17,7
2022-08-26,90654.18,72649.01,7
2022-08-29,90433.48,72356.83,7
2022-08-30,90212.87,72277.87,7
2022-08-31,90070.32,72277.87,7
2022-09-01,89642.83,71717.95,7
2022-09-02,89503.6,71747.8,7
2022-09-06,89459.28,71589.9,7
2022-09-07,89716.71,71894.39,7
2022-09-08,90006.72,71894.39,7
2022-09-09,90414.87,72332.82,7
2022-09-12,90662.13,75314.53,6
2022-09-13,90121.28,78322.29,5
2022-09-14,90127.68,72988.29,7
2022-09-15,89762.98,75611.13,6
2022-09-16,89623.35,72728.61,7
2022-09-19,89799.37,72046.24,8
2022-09-20,89644.35,72056.46,8
2022-09-21,89350.32,72056.46,8
2022-09-22,89015.14,72056.46,8
2022-09-23,88695.7,75720.52,6
2022-09-26,88624.53,78513.74,5
2022-09-27,88743.53,80803.84,4
2022-09-28,88970.19,80803.84,4
2022-09-29,88707.4,82782.28,3
2022-09-30,88631.12,81720.75,3
2022-10-03,88438.43,79285.86,4
2022-10-04,88757.42,79285.86,4
2022-10-05,88647.11,82414.82,3
2022-10-06,88627.72,79758.86,4
2022-10-07,88331.47,81821.67,3
2022-10-10,88173.66,78804.41,4
2022-10-11,88146.39,76396.25,5
2022-10-12,87864.6,78659.66,4
2022-10-13,87994.62,78659.66,4
2022-10-14,87737.59,79162.81,4
2022-10-17,88087.27,79162.81,4
2022-10-18,88267.98,79162.81,4
2022-10-19,88020.5,83081.12,2
2022-10-20,88033.21,83081.12,2
2022-10-21,88204.62,83081.12,2
2022-10-24,88295.39,83081.12,2
2022-10-25,88359.33,83081.12,2
2022-10-26,88328.86,83081.12,2
2022-10-27,88445.49,83081.12,2
2022-10-28,88593.69,83081.12,2
2022-10-31,88584.88,83081.12,2
2022-11-01,88870.12,83081.12,2
2022-11-02,88867.94,83081.12,2
2022-11-03,88863.01,85769.92,1
2022-11-04,88981.31,85769.92,1
2022-11-07,89097.79,85769.92,1
2022-11-08,89072.31,85769.92,1
2022-11-09,89052.29,85769.92,1
2022-11-10,89179.69,85769.92,1
2022-11-11,89181.51,85769.92,1
2022-11-14,89196.98,85769.92,1
2022-11-15,89267.05,85769.92,1
2022-11-16,89172.41,85769.92,1
2022-11-17,89162.52,89162.52,0
2022-11-18,89162.52,89162.52,0
2022-11-21,89162.52,89162.52,0
2022-11-22,89162.52,89162.52,0
2022-11-23,89162.52,89162.52,0
2022-11-25,89162.52,89162.52,0
2022-11-28,89162.52,89162.52,0
2022-11-29,89162.52,89162.52,0
2022-11-30,89162.52,89162.52,0
2022-12-01,89162.52,89162.52,0
2022-12-02,89162.52,89162.52,0
2022-12-05,89162.52,89162.52,0
2022-12-06,89161.13,86369.55,1
2022-12-07,89137.55,78537.92,4
2022-12-08,89303.09,71594.34,7
2022-12-09,89322.18,71594.34,7
2022-12-12,89653.88,71594.34,7
2022-12-13,89737.73,71594.34,7
2022-12-14,89568.98,71594.34,7
2022-12-15,88903.95,71212.06,7
2022-12-16,88795.94,71212.06,7
2022-12-19,88583.33,71212.06,7
2022-12-20,88671.35,71212.06,7
2022-12-21,88875.37,71101.88,7
2022-12-22,88558.29,71061.25,7
2022-12-23,88590.98,71061.25,7
2022-12-27,88565.03,71061.25,7
2022-12-28,88330.48,73368.59,6
2022-12-29,88674.01,71044.53,7
2022-12-30,88659.06,74080.33,6
2023-01-03,88752.77,74080.33,6
2023-01-04,88673.34,76555.11,5
2023-01-05,88549.47,74078.58,6
2023-01-06,89329.66,71473.13,7
2023-01-09,89487.35,71473.13,7
2023-01-10,89599.35,71473.13,7
2023-01-11,89845.39,71473.13,7
2023-01-12,89956.95,72180.0,7
2023-01-13,90168.49,72180.0,7
2023-01-17,90100.78,72180.0,7
2023-01-18,89842.6,73732.23,6
2023-01-19,89465.92,74783.89,6
2023-01-20,89732.96,72187.28,7
2023-01-23,89954.09,72187.28,7
2023-01-24,90004.99,72187.28,7
2023-01-25,89863.39,72187.28,7
2023-01-26,90025.14,71435.26,7
2023-01-27,89816.28,69728.99,7
2023-01-30,89584.74,69728.99,7
2023-01-31,89802.33,64505.45,9
2023-02-01,90398.84,61986.41,10
2023-02-02,90965.01,61986.41,10
2023-02-03,90650.95,61986.41,10
2023-02-06,90324.41,62166.09,10
2023-02-07,90630.99,51190.37,14
2023-02-08,90285.49,54427.75,13
2023-02-09,90263.54,47258.68,15
2023-02-10,90124.96,42155.39,17
2023-02-13,90556.24,42013.68,18
2023-02-14,90673.68,45119.84,17
2023-02-15,91293.56,45201.49,17
2023-02-16,90611.44,44657.19,17
2023-02-17,90506.69,41623.43,18
2023-02-21,89371.04,34899.44,20
2023-02-22,89636.21,32865.2,20
2023-02-23,90327.93,33727.72,20
2023-02-24,89117.04,33511.45,20
2023-02-27,89326.21,33511.45,20
2023-02-28,89706.36,33511.45,20
2023-03-01,90262.97,32244.93,20
2023-03-02,91073.42,32244.93,20
2023-03-03,92093.99,34830.47,19
2023-03-06,92234.88,34566.12,19
2023-03-07,91114.33,32995.94,20
2023-03-08,91724.22,35335.67,19
2023-03-09,90417.45,30547.9,20
2023-03-10,89011.52,37088.25,18
2023-03-13,89058.34,28170.25,20
2023-03-14,90558.17,28170.25,20
2023-03-15,89486.04,35283.1,18
2023-03-16,90711.86,29440.75,20
2023-03-17,90054.27,35733.54,18
2023-03-20,90824.41,35733.54,18
2023-03-21,91659.7,32984.18,19
2023-03-22,90653.33,33973.97,19
2023-03-23,91101.02,31361.46,20
2023-03-24,90497.53,35116.17,19
2023-03-27,90460.35,40555.78,17
2023-03-28,90229.79,32866.96,20
2023-03-29,91824.38,35765.04,19
2023-03-30,92468.15,35765.04,19
2023-03-31,93613.0,38428.25,18
2023-04-03,93256.52,38428.25,18
2023-04-04,92450.51,41122.34,17
2023-04-05,91666.46,43874.63,16
2023-04-06,91586.03,41674.46,17
2023-04-10,92591.14,41674.46,17
2023-04-11,91583.39,42495.11,17
2023-04-12,90656.19,44935.81,16
2023-04-13,91087.07,37316.24,19
2023-04-14,90830.2,34541.33,20
2023-04-17,91132.32,34574.59,20
2023-04-18,91183.85,37330.87,19
2023-04-19,90202.83,40419.12,18
2023-04-20,90147.48,32166.84,20
2023-04-21,90010.03,34230.02,19
2023-04-24,89740.61,31153.55,20
2023-04-25,87818.43,34246.31,19
2023-04-26,88204.19,29237.5,20
2023-04-27,88161.91,28568.41,20
2023-04-28,88590.83,32868.52,19
2023-05-01,88906.18,35829.21,18
2023-05-02,87877.7,30971.59,20
2023-05-03,87324.06,33240.83,19
2023-05-04,87423.72,30604.44,20
2023-05-05,88439.83,30453.83,20
2023-05-08,88982.12,31627.48,20
2023-05-09,88603.62,31627.48,20
2023-05-10,89458.06,31627.48,20
2023-05-11,89336.09,34216.58,19
2023-05-12,89102.63,30381.83,20
2023-05-15,89574.69,30587.59,20
2023-05-16,89550.61,48161.44,14
2023-05-17,90271.7,48363.14,14
2023-05-18,91846.7,55106.92,12
2023-05-19,91520.06,55713.38,12
2023-05-22,91698.01,55713.38,12
2023-05-23,91149.43,63122.14,10
2023-05-24,91215.1,54653.32,13
2023-05-25,91697.71,42314.46,17
2023-05-26,93099.83,35934.83,19
2023-05-30,92916.14,39834.38,18
2023-05-31,92636.15,38528.46,18
2023-06-01,93593.85,35247.16,19
2023-06-02,94841.54,41580.9,17
2023-06-05,95467.61,45481.91,16
2023-06-06,95776.18,36411.3,19
2023-06-07,95051.72,49344.2,15
2023-06-08,95496.39,40636.82,18
2023-06-09,95454.84,37922.88,19
2023-06-12,96369.62,34758.7,20
2023-06-13,96308.92,42204.65,18
2023-06-14,95766.53,46179.82,17
2023-06-15,96020.27,55141.42,14
2023-06-16,95790.41,60784.74,12
2023-06-20,95587.46,58229.38,13
2023-06-21,95176.27,55413.73,14
2023-06-22,95564.56,35661.54,20
2023-06-23,94841.08,35661.54,20
2023-06-26,94361.15,35661.54,20
2023-06-27,95595.67,35661.54,20
2023-06-28,96065.15,36128.15,20
2023-06-29,96156.28,36128.15,20
2023-06-30,96896.76,35865.93,20
2023-07-03,97066.92,36099.33,20
2023-07-05,96485.86,39321.43,19
2023-07-06,95604.14,36937.55,20
2023-07-07,95727.92,36937.55,20
2023-07-10,96655.11,36257.22,20
2023-07-11,97826.43,36257.22,20
2023-07-12,98526.13,35813.95,20
2023-07-13,99893.11,35813.95,20
2023-07-14,99679.7,35813.95,20
2023-07-17,100305.14,35813.95,20
2023-07-18,100534.28,35882.93,20
2023-07-19,100348.43,35882.93,20
2023-07-20,98623.12,51658.25,15
2023-07-21,98868.82,35967.18,20
2023-07-24,98997.7,37328.8,20
2023-07-25,99343.85,37328.8,20
2023-07-26,99499.41,36767.78,20
2023-07-27,100245.19,36767.78,20
2023-07-28,101625.1,36183.99,20
2023-07-31,102016.98,36183.99,20
2023-08-01,101546.64,35591.32,20
2023-08-02,99705.41,36689.12,20
2023-08-03,99555.27,35774.92,20
2023-08-04,98674.87,35293.75,20
2023-08-07,99283.5,35293.75,20
2023-08-08,98968.07,33094.26,20
2023-08-09,98412.83,29913.7,20
2023-08-10,98262.5,29913.7,20
2023-08-11,97818.25,28554.33,20
2023-08-14,98619.66,28554.33,20
2023-08-15,97843.54,29342.46,20
2023-08-16,96824.91,26349.12,20
2023-08-17,95943.2,24351.45,20
2023-08-18,96058.4,25346.59,20
2023-08-21,96841.58,25346.59,20
2023-08-22,97820.43,26379.67,20
2023-08-23,99059.87,28454.66,20
2023-08-24,97616.59,28454.66,20
2023-08-25,97916.89,27546.32,20
2023-08-28,99185.92,28379.79,20
2023-08-29,100805.82,40209.12,17
2023-08-30,101230.78,40043.92,17
2023-08-31,101492.29,40043.92,17
2023-09-01,102631.8,36899.31,18
2023-09-05,102351.67,36899.31,18
2023-09-06,102248.9,30995.92,20
2023-09-07,101206.88,34783.9,19
2023-09-08,101127.6,30913.4,20
2023-09-11,101598.23,30913.4,20
2023-09-12,100329.85,30351.92,20
2023-09-13,100343.96,30351.92,20
2023-09-14,100976.81,30239.26,20
2023-09-15,99331.8,32656.65,20
2023-09-18,99381.0,32656.65,20
2023-09-19,99129.1,32656.65,20
2023-09-20,98681.3,31498.98,20
2023-09-21,97222.58,30395.36,20
2023-09-22,97702.88,28396.87,20
2023-09-25,97489.38,27122.36,20
2023-09-26,96169.86,30788.94,19
2023-09-27,96720.59,26966.59,20
2023-09-28,98044.19,26966.59,20
2023-09-29,98232.7,28378.42,20
2023-10-02,98344.76,25400.67,20
2023-10-03,97108.62,36453.07,17
2023-10-04,97931.73,24389.95,20
2023-10-05,97952.61,29672.4,19
2023-10-06,98980.67,33826.65,18
2023-10-09,99336.92,33300.22,18
2023-10-10,99848.53,48713.03,14
2023-10-11,100581.57,45699.04,15
2023-10-12,100057.63,48796.31,14
2023-10-13,99264.66,48691.43,14
2023-10-16,99739.54,34541.85,18
2023-10-17,99767.74,42416.33,16
2023-10-18,98864.1,42076.12,16
2023-10-19,98120.28,40649.29,17
2023-10-20,97213.62,41501.36,17
2023-10-23,96923.14,31341.88,20
2023-10-24,98177.22,31110.33,20
2023-10-25,96387.7,30931.46,20
2023-10-26,95480.81,29173.83,20
2023-10-27,95829.16,28430.76,20
2023-10-30,96434.17,26964.91,20
2023-10-31,97741.84,29473.7,20
2023-11-01,98705.99,40287.48,17
2023-11-02,98969.98,47540.48,15
2023-11-03,100160.25,54176.24,13
2023-11-06,100163.7,59668.07,12
2023-11-07,100950.03,59668.07,12
2023-11-08,100929.6,59668.07,12
2023-11-09,100659.84,59668.07,12
2023-11-10,101865.78,59668.07,12
2023-11-13,101816.71,62937.82,11
2023-11-14,102849.48,62937.82,11
2023-11-15,102441.29,66147.03,10
2023-11-16,102389.74,62836.32,11
2023-11-17,102714.28,62836.32,11
2023-11-20,103287.91,62836.32,11
2023-11-21,102986.42,66020.42,10
2023-11-22,103101.0,62706.17,11
2023-11-24,103181.39,62706.17,11
2023-11-27,103136.08,62706.17,11
2023-11-28,103790.7,62706.17,11
2023-11-29,103946.21,65227.77,10
2023-11-30,103939.3,62355.19,11
2023-12-01,103926.38,54350.15,14
2023-12-04,103393.44,55301.5,14
2023-12-05,103195.67,52453.19,15
2023-12-06,102782.48,53353.63,15
2023-12-07,103663.01,36759.58,20
2023-12-08,104134.54,42838.04,18
2023-12-11,105265.39,42541.47,18
2023-12-12,105532.46,39395.9,19
2023-12-13,106304.89,42698.49,18
2023-12-14,107033.75,45805.23,17
2023-12-15,106871.33,39471.7,19
2023-12-18,107314.44,35276.09,20
2023-12-19,107869.02,35276.09,20
2023-12-20,106507.16,44671.24,18
2023-12-21,107364.58,38786.72,20
2023-12-22,107435.38,38786.72,20
2023-12-26,107878.02,38786.72,20
2023-12-27,108055.55,38786.72,20
2023-12-28,107788.62,43146.92,19
2023-12-29,107385.83,45379.29,18
2024-01-02,105849.29,55986.83,15
2024-01-03,105408.65,37374.73,20
2024-01-04,105348.62,37374.73,20
2024-01-05,105111.6,37374.73,20
2024-01-08,106903.54,37374.73,20
2024-01-09,106568.9,37791.23,20
2024-01-10,107508.56,37791.23,20
2024-01-11,107947.34,37791.23,20
2024-01-12,108511.08,37791.23,20
2024-01-16,108516.58,37791.23,20
2024-01-17,107804.06,37791.23,20
2024-01-18,108761.94,37791.23,20
2024-01-19,110310.22,37104.89,20
2024-01-22,110958.01,37104.89,20
2024-01-23,110404.11,37592.04,20
2024-01-24,110623.71,37592.04,20
2024-01-25,111028.2,37592.04,20
2024-01-26,110688.29,38094.24,20
2024-01-29,111679.86,38094.24,20
2024-01-30,111386.64,37065.24,20
2024-01-31,110154.63,37768.75,20
2024-02-01,111186.68,37768.75,20
2024-02-02,111402.29,37347.07,20
2024-02-05,110630.82,34982.27,20
2024-02-06,110684.21,35133.32,20
2024-02-07,112674.76,35133.32,20
2024-02-08,113761.87,35390.79,20
2024-02-09,115045.04,36188.69,20
2024-02-12,114349.29,38328.36,20
2024-02-13,111923.87,53546.63,17
2024-02-14,112986.11,39668.41,20
2024-02-15,113366.73,37788.43,20
2024-02-16,112254.65,47211.53,17
2024-02-20,111961.46,35006.58,20
2024-02-21,111756.48,33803.48,20
2024-02-22,113049.1,35229.39,20
2024-02-23,112723.71,36788.95,20
2024-02-26,113612.01,36788.95,20
2024-02-27,113582.28,36788.95,20
2024-02-28,112818.66,36474.65,20
2024-02-29,113462.46,36192.16,20
2024-03-01,114798.98,36192.16,20
2024-03-04,114159.0,33683.68,20
2024-03-05,111951.93,33413.69,20
2024-03-06,113222.58,33413.69,20
2024-03-07,114355.46,31223.11,20
2024-03-08,113082.37,39871.7,18
2024-03-11,112572.53,53211.43,15
2024-03-12,113509.8,40803.53,19
2024-03-13,113096.05,40954.48,19
2024-03-14,112210.02,39298.47,20
2024-03-15,111312.96,40033.56,20
2024-03-18,111692.72,39163.78,20
2024-03-19,111710.6,39163.78,20
2024-03-20,112691.86,39018.34,20
2024-03-21,113095.67,39249.22,20
2024-03-22,112998.67,39249.22,20
2024-03-25,112497.95,41889.22,19
2024-03-26,112712.69,41854.45,19
2024-03-27,113033.86,37744.04,20
2024-03-28,113170.09,37618.39,20
2024-04-01,112746.38,37079.56,20
2024-04-02,112260.63,37079.56,20
2024-04-03,112772.44,37079.56,20
2024-04-04,112026.09,37079.56,20
2024-04-05,113368.0,37079.56,20
2024-04-08,113636.73,37214.64,20
2024-04-09,114044.27,37667.67,20
2024-04-10,113083.6,38132.61,20
2024-04-11,113795.6,38132.61,20
2024-04-12,112036.43,35278.35,20
2024-04-15,110345.52,34075.45,20
2024-04-16,110566.29,34075.45,20
2024-04-17,109828.17,33828.12,20
2024-04-18,109408.65,29362.69,20
2024-04-19,108655.0,28115.65,20
2024-04-22,109756.0,28115.65,20
2024-04-23,111544.02,28982.46,20
2024-04-24,111727.49,31085.88,20
2024-04-25,110730.81,32482.61,20
2024-04-26,111678.78,32788.66,20
2024-04-29,111680.25,31926.39,20
2024-04-30,109936.31,33168.28,20
