date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2021-07-07,BUY,IBM,36.0,109.9213,3957.17,0.8009,score=+0.80 sector=other,96040.85,99998.02
2021-07-07,BUY,FN,35.0,91.51,3202.85,0.6588,score=+0.66 sector=other,92836.4,99996.42
2021-07-07,BUY,ARQQ,11.0,247.75,2725.25,0.5804,score=+0.58 sector=quantum,90109.79,99995.06
2021-07-07,BUY,JBL,49.0,56.5639,2771.63,0.5617,score=+0.56 sector=other,87336.77,99993.67
2021-07-08,BUY,SE,11.0,267.0,2937.0,0.6311,score=+0.63 sector=other,84398.3,99956.74
2021-07-08,BUY,VRT,111.0,27.0606,3003.73,0.6041,score=+0.60 sector=ai_infra,81393.07,99955.24
2021-07-08,BUY,BOTZ,85.0,33.7418,2868.05,0.5767,score=+0.58 sector=etf_tech,78523.59,99953.8
2021-07-08,BUY,BOX,111.0,25.12,2788.32,0.5609,score=+0.56 sector=cloud_infra,75733.87,99952.41
2021-07-09,BUY,ARKQ,33.0,82.5514,2724.2,0.5502,score=+0.55 sector=etf_tech,73008.32,100261.95
2021-07-13,BUY,BOX,45.0,24.19,1088.55,0.7587,score=+0.76 sector=cloud_infra,71919.22,100091.57
2021-07-13,BUY,AKAM,27.0,115.14,3108.78,0.6266,score=+0.63 sector=cloud_infra,68808.89,100090.02
2021-07-13,BUY,DELL,67.0,43.2404,2897.11,0.5808,score=+0.58 sector=ai_infra,65910.33,100088.57
2021-07-14,BUY,DELL,33.0,43.0744,1421.46,0.8662,score=+0.87 sector=ai_infra,64488.16,99814.68
2021-07-14,BUY,PATH,64.0,61.99,3967.36,0.8,score=+0.80 sector=software,60518.82,99812.69
2021-07-14,BUY,IRM,90.0,36.3909,3275.18,0.6627,score=+0.66 sector=data_centers,57242.0,99811.06
2021-07-14,BUY,NTAP,42.0,71.4697,3001.73,0.6147,score=+0.61 sector=cloud_infra,54238.77,99809.56
2021-07-14,BUY,NTNX,85.0,35.12,2985.2,0.6014,score=+0.60 sector=cloud_infra,51252.08,99808.06
