date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2008-08-29,BUY,QUBT,55.0,360.0,19800.0,1.0,score=+1.00 sector=quantum,80190.1,99990.1
2008-09-02,SELL,QUBT,55.0,360.0,19800.0,0.0,score=+0.00 <= exit_thr=+0.00,99980.2,99980.2
2010-01-26,BUY,STX,10016.0,9.9769,99928.7,1.0,score=+1.00 sector=cloud_infra,1.54,99930.24
2010-01-27,SELL,STX,10016.0,9.8581,98738.43,0.0,score=+0.00 <= exit_thr=+0.00,98690.6,98690.6
2010-03-03,BUY,ENTG,21750.0,4.5352,98641.11,1.0,score=+1.00 sector=semiconductors,0.17,98641.28
2010-03-09,SELL,ENTG,21750.0,4.784,104051.79,0.0,score=+0.00 <= exit_thr=+0.00,103999.93,103999.93
2010-03-09,BUY,ACLS,15197.0,6.84,103947.48,1.0,score=+1.00 sector=semiconductors,0.48,103947.96
2010-03-19,SELL,ACLS,15197.0,5.92,89966.24,0.0,score=+0.00 <= exit_thr=+0.00,89921.74,89921.74
2013-09-13,BUY,TSLA,8143.0,11.036,89866.15,1.0,score=+1.00 sector=mega_cap_tech,10.65,89876.8
2013-09-16,SELL,TSLA,8143.0,11.1053,90430.73,0.0,score=+0.00 <= exit_thr=+0.00,90396.17,90396.17
2013-09-26,BUY,TSLA,7184.0,12.576,90345.99,1.0,score=+1.00 sector=mega_cap_tech,5.01,90350.99
2013-10-04,SELL,TSLA,7184.0,12.0653,86677.35,0.0,score=+0.00 <= exit_thr=+0.00,86639.03,86639.03
2013-10-07,BUY,TSLA,7095.0,12.2047,86592.11,1.0,score=+1.00 sector=mega_cap_tech,3.62,86595.73
2013-10-09,SELL,TSLA,7095.0,11.252,79832.94,0.0,score=+0.00 <= exit_thr=+0.00,79796.64,79796.64
2013-10-14,BUY,TSLA,6656.0,11.9813,79747.75,1.0,score=+1.00 sector=mega_cap_tech,9.01,79756.76
2013-10-22,SELL,TSLA,6656.0,11.436,76118.02,0.0,score=+0.00 <= exit_thr=+0.00,76088.97,76088.97
2013-10-23,BUY,TSLA,6934.0,10.9667,76042.87,1.0,score=+1.00 sector=mega_cap_tech,8.08,76050.95
2013-10-24,SELL,TSLA,6934.0,11.5433,80041.47,0.0,score=+0.00 <= exit_thr=+0.00,80009.53,80009.53
2013-10-25,BUY,TSLA,7070.0,11.3107,79966.42,1.0,score=+1.00 sector=mega_cap_tech,3.13,79969.55
2013-10-28,SELL,TSLA,7070.0,10.8573,76761.35,0.0,score=+0.00 <= exit_thr=+0.00,76726.09,76726.09
2013-11-05,BUY,TSLA,6505.0,11.7873,76676.6,1.0,score=+1.00 sector=mega_cap_tech,11.16,76687.76
2013-11-06,SELL,TSLA,6505.0,10.0773,65553.05,0.0,score=+0.00 <= exit_thr=+0.00,65531.44,65531.44
2014-02-25,BUY,TSLA,3961.0,16.5333,65488.53,1.0,score=+1.00 sector=mega_cap_tech,10.16,65498.69
2014-02-26,SELL,TSLA,3961.0,16.8667,66808.87,0.0,score=+0.00 <= exit_thr=+0.00,66785.62,66785.62
2014-03-24,BUY,TSLA,4547.0,14.678,66740.87,1.0,score=+1.00 sector=mega_cap_tech,11.38,66752.25
2014-03-25,SELL,TSLA,4547.0,14.696,66822.71,0.0,score=+0.00 <= exit_thr=+0.00,66800.69,66800.69
2017-03-13,BUY,AMD,4675.0,14.28,66759.0,1.0,score=+1.00 sector=ai_infra,8.31,66767.31
