date,SPY_overnight_0bps,SPY_overnight_1bps,SPY_overnight_2bps,SPY_overnight_5bps,QQQ_overnight_0bps,QQQ_overnight_1bps,QQQ_overnight_2bps,QQQ_overnight_5bps,IWM_overnight_0bps,IWM_overnight_1bps,IWM_overnight_2bps,IWM_overnight_5bps,DIA_overnight_0bps,DIA_overnight_1bps,DIA_overnight_2bps,DIA_overnight_5bps,VTI_overnight_0bps,VTI_overnight_1bps,VTI_overnight_2bps,VTI_overnight_5bps
2006-08-22,99892.41143368564,99872.43395032303,99852.45846480863,99792.54399535483,99843.84984579732,99823.88207426667,99803.91629961299,99744.030956914,99885.99540841405,99866.01920819233,99846.04500569051,99786.1343845045,99806.23354578219,99786.27329713537,99766.31504461322,99706.45226379481,99735.08986131843,99715.14384069707,99695.19981477749,99635.37970522958
2006-08-23,99938.46932357005,99898.49993174906,99858.54253014599,99738.74224266395,99921.79932047606,99881.83659565618,99841.8858590542,99722.10555457947,100013.64346323047,99973.64400626377,99933.65654853404,99813.76614676867,99806.07954238905,99766.16309853767,99726.25862902061,99606.6170425268,99634.07130209696,99594.2236512219,99554.38795404426,99434.95256078892
2006-08-24,100115.65044738633,100055.5960724633,99995.57172022366,99815.6786795381,100209.99428158543,100149.88331451162,100089.80239841292,99909.73983578823,100186.08977232661,100125.99314437313,100065.92656022633,99885.90695047502,99885.53467795145,99825.61833797736,99765.73195167945,99586.25239505246,99938.22286872428,99878.2749237379,99818.35694822783,99638.78271870203
2006-08-25,100107.924284452,100027.86596963793,99947.86368163498,99708.19264246659,100000.3505860114,99920.37830004148,99840.46198067749,99601.04848655639,100041.88180154507,99961.87630222914,99881.92679276268,99642.41386765592,99823.53265309524,99743.70177197253,99663.92675849712,99424.93658888331,99969.47946250389,99889.53186479057,99809.64021640577,99570.300631661
2006-08-28,99984.52313288041,99884.58359078693,99784.73396280476,99485.723844645,99922.10140988938,99822.22426143663,99722.43697096051,99423.61352896004,99955.6840334819,99855.77331751368,99755.95248972232,99457.02861673583,99735.019559368,99635.32940860136,99535.7289475724,99237.46498582422,99687.91526500654,99588.27219734297,99488.7187770571,99190.59568371718
2006-08-29,100030.53695987674,99910.56631367757,99790.72757581608,99432.00149422986,99844.4485828198,99724.70111989569,99605.08531991811,99247.0265820887,100197.24288160031,100077.07229828429,99957.03384313785,99597.70992649155,99752.65771864544,99633.02034419654,99513.5145116514,99155.78495107155,99602.58946946579,99483.13207790388,99363.80603035359,99006.6146393831
2006-08-30,100252.67730298082,100112.41474821109,99972.33443450258,99553.18475503767,99818.71261266328,99679.05721371004,99539.58326694946,99122.2479645739,100281.58530495064,100141.28230527393,100001.16159920787,99581.89105733726,99963.61275260766,99823.7546252649,99684.07821351683,99266.13709343298,99687.66649912958,99548.19444553104,99408.90360590722,98992.11619849027
2006-08-31,100398.45028710186,100237.93318857801,100077.6567092517,99598.26762182888,99946.92312181235,99787.12792517316,99627.57226558223,99150.33915960231,100505.07956105223,100344.39198358552,100183.94528086853,99704.04705301397,100051.43638988244,99891.47409737174,99731.75159239031,99254.01944962186,99842.12053943233,99682.49290122052,99523.10454888266,99046.37186112815
2006-09-01,100782.73222399414,100601.47742136341,100420.5305208925,99879.53231289495,100486.89989318562,100306.17713636822,100125.76137791076,99586.35118759543,100939.23721065401,100757.70093837226,100576.47304638998,100034.63472505703,100403.08081362712,100222.50880297812,100042.24353461269,99503.28328220673,100298.56461169799,100118.1805703879,99938.10295205309,99399.70373899092
2006-09-05,100851.74742609491,100650.23543464071,100449.1059906844,99848.00606895323,100538.29135711561,100337.40568259006,100136.90136657114,99537.66971607311,101093.78587733868,100891.79026857927,100690.17812540986,100087.63559809371,100333.04821650732,100132.57263853493,99932.47764054767,99334.46928700688,100306.27993099585,100105.85783876522,99905.81622498318,99307.96741666332
