date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2006-07-10,BUY,QQQ,1565.0,31.9448,49993.61,-0.2656,benchmark core target=50%,49981.39,99975.0
2006-07-11,SELL,QQQ,1565.0,32.1842,50368.31,-0.131,score=-0.13 <= exit_thr=+0.00,100324.51,100324.51
2006-07-11,BUY,QQQ,1558.0,32.1842,50143.02,-0.131,benchmark core target=50%,50156.42,100299.44
2006-07-12,SELL,QQQ,1558.0,31.5771,49197.19,-0.3122,score=-0.31 <= exit_thr=+0.00,99329.02,99329.02
2006-07-12,BUY,QQQ,1572.0,31.5771,49639.27,-0.3122,benchmark core target=50%,49664.92,99304.2
2006-07-13,SELL,QQQ,1572.0,31.047,48805.9,-0.0155,score=-0.02 <= exit_thr=+0.00,98446.43,98446.43
2006-07-13,BUY,QQQ,1585.0,31.047,49209.51,-0.0155,benchmark core target=50%,49212.31,98421.82
2006-07-14,SELL,QQQ,1585.0,30.7306,48708.04,-0.0667,score=-0.07 <= exit_thr=+0.00,97896.0,97896.0
2006-07-14,BUY,QQQ,1592.0,30.7306,48923.16,-0.0667,benchmark core target=50%,48948.38,97871.53
2006-07-14,BUY,DIS,138.0,22.666,3127.91,0.6433,score=+0.64 sector=other,45818.9,97869.97
2006-07-14,BUY,ROK,68.0,44.8882,3052.4,0.6272,score=+0.63 sector=robotics,42764.97,97868.44
2006-07-14,BUY,INTU,108.0,24.961,2695.79,0.5521,score=+0.55 sector=software,40067.84,97867.1
2006-07-17,SELL,QQQ,1592.0,30.8076,49045.67,-0.0784,score=-0.08 <= exit_thr=+0.00,89088.99,97937.6
2006-07-17,BUY,QQQ,1589.0,30.8076,48953.25,-0.0784,benchmark core target=50%,40111.26,97913.12
2006-07-17,BUY,DIS,27.0,22.7536,614.35,0.7675,score=+0.77 sector=other,39496.61,97912.82
2006-07-17,BUY,GOOGL,266.0,10.1177,2691.32,0.5508,score=+0.55 sector=mega_cap_tech,36803.94,97911.47
2006-07-17,BUY,GOOG,267.0,10.0704,2688.79,0.5508,score=+0.55 sector=mega_cap_tech,34113.81,97910.13
2006-07-18,SELL,QQQ,1589.0,30.9102,49116.29,-0.0464,score=-0.05 <= exit_thr=+0.00,83205.54,98059.55
2006-07-18,BUY,QQQ,1586.0,30.9102,49023.56,-0.0464,benchmark core target=50%,34157.47,98035.04
