date,equity
2021-07-09,99967.55
2021-07-12,100200.98
2021-07-13,99960.84
2021-07-14,99783.44
2021-07-15,99154.27
2021-07-16,98531.04
2021-07-19,97921.21
2021-07-20,98941.75
2021-07-21,99682.63
2021-07-22,100137.61
2021-07-23,101004.48
2021-07-26,100828.75
2021-07-27,100122.02
2021-07-28,100563.1
2021-07-29,100923.99
2021-07-30,100552.61
2021-08-02,100593.77
2021-08-03,101126.6
2021-08-04,101305.32
2021-08-05,101746.69
2021-08-06,101431.15
2021-08-09,101578.75
2021-08-10,101276.16
2021-08-11,101293.24
2021-08-12,101736.43
2021-08-13,102217.35
2021-08-16,101870.54
2021-08-17,100985.16
2021-08-18,100518.36
2021-08-19,100483.11
2021-08-20,101339.65
2021-08-23,102430.84
2021-08-24,102839.72
2021-08-25,103022.14
2021-08-26,102655.08
2021-08-27,103732.05
2021-08-30,104443.55
2021-08-31,104403.93
2021-09-01,104512.7
2021-09-02,104810.21
2021-09-03,105313.91
2021-09-07,105004.46
2021-09-08,104543.89
2021-09-09,104129.5
2021-09-10,103376.46
2021-09-13,103334.76
2021-09-14,103179.16
2021-09-15,103786.4
2021-09-16,103896.04
2021-09-17,102854.05
2021-09-20,101259.89
2021-09-21,101353.4
2021-09-22,102230.15
2021-09-23,103120.99
2021-09-24,103216.94
2021-09-27,102233.1
2021-09-28,99714.72
2021-09-29,99405.21
2021-09-30,99202.01
2021-10-01,99722.97
2021-10-04,97752.71
2021-10-05,98960.99
2021-10-06,99736.71
2021-10-07,100623.31
2021-10-08,100022.84
2021-10-11,99397.46
2021-10-12,99266.91
2021-10-13,99989.15
2021-10-14,101456.44
2021-10-15,101621.4
2021-10-18,102429.05
2021-10-19,102980.57
2021-10-20,103029.37
2021-10-21,103699.01
2021-10-22,103295.76
2021-10-25,104016.51
2021-10-26,103964.93
2021-10-27,104142.07
2021-10-28,105421.27
2021-10-29,105722.19
2021-11-01,106516.11
2021-11-02,106609.98
2021-11-03,107522.29
2021-11-04,108561.13
2021-11-05,108244.45
2021-11-08,108687.7
2021-11-09,108224.84
2021-11-10,106878.09
2021-11-11,107373.3
2021-11-12,108743.08
2021-11-15,108675.12
2021-11-16,109207.99
2021-11-17,108902.62
2021-11-18,109365.57
2021-11-19,109836.3
2021-11-22,108529.68
2021-11-23,107844.07
2021-11-24,108611.5
2021-11-26,107028.85
2021-11-29,108955.44
2021-11-30,107161.05
2021-12-01,105445.24
2021-12-02,106256.83
2021-12-03,105042.99
2021-12-06,105167.41
2021-12-07,108152.01
2021-12-08,108564.85
2021-12-09,107264.3
2021-12-10,108098.35
2021-12-13,106561.67
2021-12-14,105434.72
2021-12-15,107757.38
2021-12-16,105151.35
2021-12-17,104913.65
2021-12-20,103973.16
2021-12-21,106374.2
2021-12-22,107338.79
2021-12-23,107996.62
2021-12-27,109707.55
2021-12-28,109180.65
2021-12-29,109164.32
2021-12-30,108800.86
2021-12-31,108440.31
2022-01-03,109063.29
2022-01-04,107953.28
2022-01-05,105342.46
2022-01-06,105378.56
2022-01-07,104217.16
2022-01-10,104371.71
2022-01-11,105444.53
2022-01-12,105600.54
2022-01-13,103477.42
2022-01-14,103741.15
2022-01-18,101620.49
2022-01-19,100634.54
2022-01-20,99677.33
2022-01-21,99326.1
2022-01-24,99638.96
2022-01-25,98976.48
2022-01-26,98688.81
2022-01-27,98573.68
2022-01-28,99039.59
2022-01-31,99359.27
2022-02-01,99455.04
2022-02-02,100016.77
2022-02-03,97790.1
2022-02-04,97775.25
2022-02-07,97756.31
2022-02-08,97857.71
2022-02-09,97906.74
2022-02-10,96625.88
2022-02-11,96508.32
2022-02-14,96496.28
2022-02-15,96505.92
2022-02-16,96309.4
2022-02-17,96251.94
2022-02-18,96250.24
2022-02-22,96235.86
2022-02-23,96026.56
2022-02-24,95957.71
2022-02-25,96100.0
2022-02-28,95996.3
2022-03-01,95666.36
2022-03-02,96487.06
2022-03-03,96312.94
2022-03-04,95904.3
2022-03-07,95334.21
2022-03-08,95172.45
2022-03-09,95223.08
2022-03-10,95243.12
2022-03-11,95277.74
2022-03-14,95235.84
2022-03-15,95274.09
2022-03-16,95316.0
2022-03-17,95308.71
2022-03-18,95367.01
2022-03-21,95368.83
2022-03-22,95383.4
2022-03-23,95354.25
2022-03-24,95368.83
2022-03-25,95458.1
2022-03-28,95428.95
2022-03-29,95437.88
2022-03-30,94834.82
2022-03-31,94730.97
2022-04-01,94654.46
2022-04-04,94633.64
2022-04-05,93466.87
2022-04-06,93420.98
2022-04-07,93481.09
2022-04-08,93453.44
2022-04-11,93279.54
2022-04-12,93182.43
2022-04-13,93333.26
2022-04-14,93042.52
2022-04-18,93127.6
2022-04-19,93445.03
2022-04-20,93382.96
2022-04-21,93244.5
2022-04-22,93190.21
2022-04-25,93318.46
2022-04-26,92899.33
2022-04-27,92824.43
2022-04-28,93289.92
2022-04-29,92663.97
2022-05-02,92539.14
2022-05-03,92674.14
2022-05-04,92532.79
2022-05-05,92219.33
2022-05-06,92012.2
2022-05-09,91399.35
2022-05-10,91418.62
2022-05-11,91375.07
2022-05-12,91434.63
2022-05-13,91456.08
2022-05-16,91444.99
2022-05-17,91501.92
2022-05-18,91257.47
2022-05-19,91169.75
2022-05-20,91095.83
2022-05-23,91085.27
2022-05-24,91004.54
2022-05-25,91051.23
2022-05-26,91051.23
2022-05-27,91051.23
2022-05-31,91067.03
2022-06-01,91061.15
2022-06-02,91061.15
2022-06-03,91061.15
2022-06-06,91061.15
2022-06-07,91061.15
2022-06-08,91061.15
2022-06-09,91061.15
2022-06-10,91059.75
2022-06-13,90869.17
2022-06-14,90808.42
2022-06-15,90877.62
2022-06-16,90536.66
2022-06-17,90523.75
2022-06-21,90579.95
2022-06-22,90564.66
2022-06-23,90591.66
2022-06-24,90663.55
2022-06-27,90678.25
2022-06-28,90659.58
2022-06-29,90636.74
2022-06-30,90646.27
2022-07-01,90644.88
2022-07-05,90575.38
2022-07-06,90584.52
2022-07-07,90639.13
2022-07-08,90631.98
2022-07-11,90642.5
2022-07-12,90605.12
2022-07-13,90571.57
2022-07-14,90536.3
2022-07-15,90553.82
2022-07-18,90536.31
2022-07-19,90384.86
2022-07-20,90283.27
2022-07-21,90317.45
2022-07-22,90292.96
2022-07-25,90382.24
2022-07-26,90244.56
2022-07-27,90282.36
2022-07-28,90052.29
2022-07-29,90014.17
2022-08-01,90045.76
2022-08-02,90047.2
2022-08-03,90037.12
2022-08-04,90061.6
2022-08-05,90011.92
2022-08-08,89980.96
2022-08-09,89812.0
2022-08-10,89893.78
2022-08-11,89951.92
2022-08-12,89967.52
2022-08-15,89976.84
2022-08-16,89936.31
2022-08-17,89887.25
2022-08-18,89869.19
2022-08-19,89766.29
